txn_index,tcp_stream,read_frame,read_ts_epoch,read_tcp_seq,read_tcp_len,read_tcp_hdr_len,read_ip_len,read_frame_len,read_dnp3_func,read_dnp3_al_seq,read_dnp3_tr_seq,read_dnp3_src,read_dnp3_dst,read_dnp3_hdr_crc_ok,expected_ack,ack_frame,ack_ts_epoch,ack_tcp_seq,ack_tcp_ack,ack_tcp_len,ack_tcp_hdr_len,ack_ip_len,ack_frame_len,resp_frame,resp_ts_epoch,resp_tcp_seq,resp_tcp_ack,resp_tcp_len,resp_tcp_hdr_len,resp_ip_len,resp_frame_len,resp_dnp3_func,resp_dnp3_al_seq,resp_dnp3_tr_seq,resp_dnp3_src,resp_dnp3_dst,resp_dnp3_hdr_crc_ok,resp_dnp3_frame_total_len,clrt_ms,clrt_ns,read_to_ack_ms,read_to_read_ms,prev_resp_to_read_ms,retransmission_flags,tcp_analysis_flags,ws_malformed,protection_miss_candidate,ambiguity,validation_failure
0,0,4,1785028669.714798063,2744961823,22,32,74,88,1,0,0,1,0,True,2744961845,5,1785028669.715396140,868950497,2744961845,0,32,52,66,6,1785028669.722386376,868950497,2744961845,54,32,106,120,129,0,0,0,1,True,54,6.990236,6990236,0.598077,408.024064,,,,False,False,,
1,0,8,1785028670.122822127,2744961845,22,32,74,88,1,1,0,1,0,True,2744961867,9,1785028670.123274723,868950551,2744961867,0,32,52,66,10,1785028670.124410837,868950551,2744961867,54,32,106,120,129,1,1,0,1,True,54,1.136114,1136114,0.452596,402.012295,400.435751,,,False,False,,
2,0,12,1785028670.524834422,2744961867,22,32,74,88,1,2,0,1,0,True,2744961889,13,1785028670.525289536,868950605,2744961889,0,32,52,66,14,1785028670.527394101,868950605,2744961889,54,32,106,120,129,2,2,0,1,True,54,2.104565,2104565,0.455114,1403.148474,400.423585,,,False,False,,
3,0,16,1785028671.927982896,2744961889,22,32,74,88,1,0,0,1,0,True,2744961911,17,1785028671.928389764,868950659,2744961911,0,32,52,66,18,1785028671.932227930,868950659,2744961911,54,32,106,120,129,0,3,0,1,True,54,3.838166,3838166,0.406868,1004.699312,1400.588795,,,False,False,,
4,0,20,1785028672.932682208,2744961911,22,32,74,88,1,1,0,1,0,True,2744961933,21,1785028672.933142258,868950713,2744961933,0,32,52,66,22,1785028672.936862594,868950713,2744961933,54,32,106,120,129,1,4,0,1,True,54,3.720336,3720336,0.460050,1004.688321,1000.454278,,,False,False,,
5,0,24,1785028673.937370529,2744961933,22,32,74,88,1,2,0,1,0,True,2744961955,25,1785028673.937821312,868950767,2744961955,0,32,52,66,26,1785028673.941219768,868950767,2744961955,54,32,106,120,129,2,5,0,1,True,54,3.398456,3398456,0.450783,1004.317906,1000.507935,,,False,False,,
6,0,28,1785028674.941688435,2744961955,22,32,74,88,1,3,0,1,0,True,2744961977,29,1785028674.942159054,868950821,2744961977,0,32,52,66,30,1785028674.946400551,868950821,2744961977,54,32,106,120,129,3,6,0,1,True,54,4.241497,4241497,0.470619,1005.179884,1000.468667,,,False,False,,
7,0,32,1785028675.946868319,2744961977,22,32,74,88,1,4,0,1,0,True,2744961999,33,1785028675.949847971,868950875,2744961999,0,32,52,66,34,1785028675.951354871,868950875,2744961999,54,32,106,120,129,4,7,0,1,True,54,1.506900,1506900,2.979652,1004.927026,1000.467768,,,False,False,,
8,0,36,1785028676.951795345,2744961999,22,32,74,88,1,5,0,1,0,True,2744962021,37,1785028676.952255153,868950929,2744962021,0,32,52,66,38,1785028676.956485985,868950929,2744962021,54,32,106,120,129,5,8,0,1,True,54,4.230832,4230832,0.459808,1005.136305,1000.440474,,,False,False,,
9,0,40,1785028677.956931650,2744962021,22,32,74,88,1,6,0,1,0,True,2744962043,41,1785028677.958461230,868950983,2744962043,0,32,52,66,42,1785028677.962294570,868950983,2744962043,54,32,106,120,129,6,9,0,1,True,54,3.833340,3833340,1.529580,1005.810623,1000.445665,,,False,False,,
10,0,44,1785028678.962742273,2744962043,22,32,74,88,1,7,0,1,0,True,2744962065,45,1785028678.963204512,868951037,2744962065,0,32,52,66,46,1785028678.967535648,868951037,2744962065,54,32,106,120,129,7,10,0,1,True,54,4.331136,4331136,0.462239,1005.216342,1000.447703,,,False,False,,
11,0,48,1785028679.967958615,2744962065,22,32,74,88,1,8,0,1,0,True,2744962087,49,1785028679.968409253,868951091,2744962087,0,32,52,66,50,1785028679.972564240,868951091,2744962087,54,32,106,120,129,8,11,0,1,True,54,4.154987,4154987,0.450638,1005.098137,1000.422967,,,False,False,,
12,0,52,1785028680.973056752,2744962087,22,32,74,88,1,9,0,1,0,True,2744962109,53,1785028680.973510505,868951145,2744962109,0,32,52,66,54,1785028680.974583149,868951145,2744962109,54,32,106,120,129,9,12,0,1,True,54,1.072644,1072644,0.453753,1002.000511,1000.492512,,,False,False,,
13,0,56,1785028681.975057263,2744962109,22,32,74,88,1,10,0,1,0,True,2744962131,57,1785028681.976526554,868951199,2744962131,0,32,52,66,58,1785028681.981512328,868951199,2744962131,54,32,106,120,129,10,13,0,1,True,54,4.985774,4985774,1.469291,1006.933198,1000.474114,,,False,False,,
14,0,60,1785028682.981990461,2744962131,22,32,74,88,1,11,0,1,0,True,2744962153,61,1785028682.985269241,868951253,2744962153,0,32,52,66,62,1785028682.986539116,868951253,2744962153,54,32,106,120,129,11,14,0,1,True,54,1.269875,1269875,3.278780,1004.987451,1000.478133,,,False,False,,
15,0,64,1785028683.986977912,2744962153,22,32,74,88,1,12,0,1,0,True,2744962175,65,1785028683.987424226,868951307,2744962175,0,32,52,66,66,1785028683.989543379,868951307,2744962175,54,32,106,120,129,12,15,0,1,True,54,2.119153,2119153,0.446314,1003.039117,1000.438796,,,False,False,,
16,0,68,1785028684.990017029,2744962175,22,32,74,88,1,13,0,1,0,True,2744962197,69,1785028684.990527045,868951361,2744962197,0,32,52,66,70,1785028684.991595643,868951361,2744962197,54,32,106,120,129,13,16,0,1,True,54,1.068598,1068598,0.510016,1002.039103,1000.473650,,,False,False,,
17,0,72,1785028685.992056132,2744962197,22,32,74,88,1,14,0,1,0,True,2744962219,73,1785028685.992458960,868951415,2744962219,0,32,52,66,74,1785028685.994614493,868951415,2744962219,54,32,106,120,129,14,17,0,1,True,54,2.155533,2155533,0.402828,1003.009662,1000.460489,,,False,False,,
18,0,76,1785028686.995065794,2744962219,22,32,74,88,1,15,0,1,0,True,2744962241,77,1785028686.995476777,868951469,2744962241,0,32,52,66,78,1785028686.996590822,868951469,2744962241,54,32,106,120,129,15,18,0,1,True,54,1.114045,1114045,0.410983,1001.986975,1000.451301,,,False,False,,
19,0,80,1785028687.997052769,2744962241,22,32,74,88,1,0,0,1,0,True,2744962263,81,1785028687.997487775,868951523,2744962263,0,32,52,66,82,1785028687.999593915,868951523,2744962263,54,32,106,120,129,0,19,0,1,True,54,2.106140,2106140,0.435006,1002.973534,1000.461947,,,False,False,,
20,0,84,1785028689.000026303,2744962263,22,32,74,88,1,1,0,1,0,True,2744962285,85,1785028689.000475297,868951577,2744962285,0,32,52,66,86,1785028689.006614611,868951577,2744962285,54,32,106,120,129,1,20,0,1,True,54,6.139314,6139314,0.448994,1007.050990,1000.432388,,,False,False,,
21,0,88,1785028690.007077293,2744962285,22,32,74,88,1,2,0,1,0,True,2744962307,89,1785028690.008275254,868951631,2744962307,0,32,52,66,90,1785028690.009338521,868951631,2744962307,54,32,106,120,129,2,21,0,1,True,54,1.063267,1063267,1.197961,1002.754706,1000.462682,,,False,False,,
22,0,92,1785028691.009831999,2744962307,22,32,74,88,1,3,0,1,0,True,2744962329,93,1785028691.010235507,868951685,2744962329,0,32,52,66,94,1785028691.011444736,868951685,2744962329,54,32,106,120,129,3,22,0,1,True,54,1.209229,1209229,0.403508,,1000.493478,,,False,False,,
