txn_index,tcp_stream,read_frame,read_ts_epoch,read_tcp_seq,read_tcp_len,read_tcp_hdr_len,read_ip_len,read_frame_len,read_dnp3_func,read_dnp3_al_seq,read_dnp3_tr_seq,read_dnp3_src,read_dnp3_dst,read_dnp3_hdr_crc_ok,expected_ack,ack_frame,ack_ts_epoch,ack_tcp_seq,ack_tcp_ack,ack_tcp_len,ack_tcp_hdr_len,ack_ip_len,ack_frame_len,resp_frame,resp_ts_epoch,resp_tcp_seq,resp_tcp_ack,resp_tcp_len,resp_tcp_hdr_len,resp_ip_len,resp_frame_len,resp_dnp3_func,resp_dnp3_al_seq,resp_dnp3_tr_seq,resp_dnp3_src,resp_dnp3_dst,resp_dnp3_hdr_crc_ok,resp_dnp3_frame_total_len,clrt_ms,clrt_ns,read_to_ack_ms,read_to_read_ms,prev_resp_to_read_ms,retransmission_flags,tcp_analysis_flags,ws_malformed,protection_miss_candidate,ambiguity,validation_failure
0,0,4,1785018146.656020169,2793077426,22,32,74,88,1,0,0,1,0,True,2793077448,5,1785018146.657550647,2757804611,2793077448,0,32,52,66,6,1785018146.682632814,2757804611,2793077448,54,32,106,120,129,0,13,0,1,True,54,25.082167,25082167,1.530478,427.051376,,,,False,n/a,,
1,0,8,1785018147.083071545,2793077448,22,32,74,88,1,1,0,1,0,True,2793077470,9,1785018147.083509365,2757804665,2793077470,0,32,52,66,10,1785018147.108580321,2757804665,2793077470,54,32,106,120,129,1,14,0,1,True,54,25.070956,25070956,0.437820,425.922634,400.438731,,,False,n/a,,
2,0,12,1785018147.508994179,2793077470,22,32,74,88,1,2,0,1,0,True,2793077492,13,1785018147.509449200,2757804719,2793077492,0,32,52,66,14,1785018147.534516353,2757804719,2793077492,54,32,106,120,129,2,15,0,1,True,54,25.067153,25067153,0.455021,425.954978,400.413858,,,False,n/a,,
3,0,16,1785018147.934949157,2793077492,22,32,74,88,1,3,0,1,0,True,2793077514,17,1785018147.935372200,2757804773,2793077514,0,32,52,66,18,1785018147.960454805,2757804773,2793077514,54,32,106,120,129,3,16,0,1,True,54,25.082605,25082605,0.423043,425.939353,400.432804,,,False,n/a,,
4,0,20,1785018148.360888510,2793077514,22,32,74,88,1,4,0,1,0,True,2793077536,21,1785018148.362475505,2757804827,2793077536,0,32,52,66,22,1785018148.387478095,2757804827,2793077536,54,32,106,120,129,4,17,0,1,True,54,25.002590,25002590,1.586995,427.023664,400.433705,,,False,n/a,,
5,0,24,1785018148.787912174,2793077536,22,32,74,88,1,5,0,1,0,True,2793077558,25,1785018148.788324256,2757804881,2793077558,0,32,52,66,26,1785018148.813397181,2757804881,2793077558,54,32,106,120,129,5,18,0,1,True,54,25.072925,25072925,0.412082,425.922396,400.434079,,,False,n/a,,
6,0,28,1785018149.213834570,2793077558,22,32,74,88,1,6,0,1,0,True,2793077580,29,1785018149.214295334,2757804935,2793077580,0,32,52,66,30,1785018149.239365176,2757804935,2793077580,54,32,106,120,129,6,19,0,1,True,54,25.069842,25069842,0.460764,425.941117,400.437389,,,False,n/a,,
7,0,32,1785018149.639775687,2793077580,22,32,74,88,1,7,0,1,0,True,2793077602,33,1785018149.640192669,2757804989,2793077602,0,32,52,66,34,1785018149.665224218,2757804989,2793077602,54,32,106,120,129,7,20,0,1,True,54,25.031549,25031549,0.416982,425.844240,400.410511,,,False,n/a,,
8,0,36,1785018150.065619927,2793077602,22,32,74,88,1,8,0,1,0,True,2793077624,37,1785018150.067465608,2757805043,2793077624,0,32,52,66,38,1785018150.092475788,2757805043,2793077624,54,32,106,120,129,8,21,0,1,True,54,25.010180,25010180,1.845681,427.283616,400.395709,,,False,n/a,,
9,0,40,1785018150.492903543,2793077624,22,32,74,88,1,9,0,1,0,True,2793077646,41,1785018150.493346064,2757805097,2793077646,0,32,52,66,42,1785018150.518422430,2757805097,2793077646,54,32,106,120,129,9,22,0,1,True,54,25.076366,25076366,0.442521,425.939648,400.427755,,,False,n/a,,
10,0,44,1785018150.918843191,2793077646,22,32,74,88,1,10,0,1,0,True,2793077668,45,1785018150.919264577,2757805151,2793077668,0,32,52,66,46,1785018150.944321307,2757805151,2793077668,54,32,106,120,129,10,23,0,1,True,54,25.056730,25056730,0.421386,425.904174,400.420761,,,False,n/a,,
11,0,48,1785018151.344747365,2793077668,22,32,74,88,1,11,0,1,0,True,2793077690,49,1785018151.345201283,2757805205,2793077690,0,32,52,66,50,1785018151.370276012,2757805205,2793077690,54,32,106,120,129,11,24,0,1,True,54,25.074729,25074729,0.453918,425.952432,400.426058,,,False,n/a,,
12,0,52,1785018151.770699797,2793077690,22,32,74,88,1,12,0,1,0,True,2793077712,53,1785018151.772139124,2757805259,2793077712,0,32,52,66,54,1785018151.797146032,2757805259,2793077712,54,32,106,120,129,12,25,0,1,True,54,25.006908,25006908,1.439327,,400.423785,,,False,n/a,,
