txn_index,tcp_stream,read_frame,read_ts_epoch,read_tcp_seq,read_tcp_len,read_tcp_hdr_len,read_ip_len,read_frame_len,read_dnp3_func,read_dnp3_al_seq,read_dnp3_tr_seq,read_dnp3_src,read_dnp3_dst,read_dnp3_hdr_crc_ok,expected_ack,ack_frame,ack_ts_epoch,ack_tcp_seq,ack_tcp_ack,ack_tcp_len,ack_tcp_hdr_len,ack_ip_len,ack_frame_len,resp_frame,resp_ts_epoch,resp_tcp_seq,resp_tcp_ack,resp_tcp_len,resp_tcp_hdr_len,resp_ip_len,resp_frame_len,resp_dnp3_func,resp_dnp3_al_seq,resp_dnp3_tr_seq,resp_dnp3_src,resp_dnp3_dst,resp_dnp3_hdr_crc_ok,resp_dnp3_frame_total_len,clrt_ms,clrt_ns,read_to_ack_ms,read_to_read_ms,prev_resp_to_read_ms,retransmission_flags,tcp_analysis_flags,ws_malformed,protection_miss_candidate,ambiguity,validation_failure
0,0,4,1785016557.437049851,929484073,22,32,74,88,1,0,0,1,0,True,929484095,5,1785016557.437674891,3003427751,929484095,0,32,52,66,6,1785016557.460335045,3003427751,929484095,54,32,106,120,129,0,43,0,1,True,54,22.660154,22660154,0.625040,323.744084,,,,False,False,,
1,0,8,1785016557.760793935,929484095,22,32,74,88,1,1,0,1,0,True,929484117,9,1785016557.762000248,3003427805,929484117,0,32,52,66,10,1785016557.763061435,3003427805,929484117,54,32,106,120,129,1,44,0,1,True,54,1.061187,1061187,1.206313,302.713033,300.458890,,,False,False,,
2,0,12,1785016558.063506968,929484117,22,32,74,88,1,2,0,1,0,True,929484139,13,1785016558.064025319,3003427859,929484139,0,32,52,66,14,1785016558.066246708,3003427859,929484139,54,32,106,120,129,2,45,0,1,True,54,2.221389,2221389,0.518351,303.166769,300.445533,,,False,False,,
3,0,16,1785016558.366673737,929484139,22,32,74,88,1,3,0,1,0,True,929484161,17,1785016558.367166539,3003427913,929484161,0,32,52,66,18,1785016558.368249594,3003427913,929484161,54,32,106,120,129,3,46,0,1,True,54,1.083055,1083055,0.492802,302.008394,300.427029,,,False,False,,
4,0,20,1785016558.668682131,929484161,22,32,74,88,1,4,0,1,0,True,929484183,21,1785016558.669083687,3003427967,929484183,0,32,52,66,22,1785016558.671245231,3003427967,929484183,54,32,106,120,129,4,47,0,1,True,54,2.161544,2161544,0.401556,303.003173,300.432537,,,False,False,,
5,0,24,1785016558.971685304,929484183,22,32,74,88,1,5,0,1,0,True,929484205,25,1785016558.972209297,3003428021,929484205,0,32,52,66,26,1785016558.975564619,3003428021,929484205,54,32,106,120,129,5,48,0,1,True,54,3.355322,3355322,0.523993,304.313336,300.440073,,,False,False,,
6,0,28,1785016559.275998640,929484205,22,32,74,88,1,6,0,1,0,True,929484227,29,1785016559.279113904,3003428075,929484227,0,32,52,66,30,1785016559.280318647,3003428075,929484227,54,32,106,120,129,6,49,0,1,True,54,1.204743,1204743,3.115264,304.824385,300.434021,,,False,False,,
7,0,32,1785016559.580823025,929484227,22,32,74,88,1,7,0,1,0,True,929484249,33,1785016559.581305778,3003428129,929484249,0,32,52,66,34,1785016559.585323324,3003428129,929484249,54,32,106,120,129,7,50,0,1,True,54,4.017546,4017546,0.482753,304.935731,300.504378,,,False,False,,
8,0,36,1785016559.885758756,929484249,22,32,74,88,1,8,0,1,0,True,929484271,37,1785016559.886203788,3003428183,929484271,0,32,52,66,38,1785016559.888293375,3003428183,929484271,54,32,106,120,129,8,51,0,1,True,54,2.089587,2089587,0.445032,302.970692,300.435432,,,False,False,,
9,0,40,1785016560.188729448,929484271,22,32,74,88,1,9,0,1,0,True,929484293,41,1785016560.189220973,3003428237,929484293,0,32,52,66,42,1785016560.190324193,3003428237,929484293,54,32,106,120,129,9,52,0,1,True,54,1.103220,1103220,0.491525,,300.436073,,,False,False,,
