txn_index,tcp_stream,read_frame,read_ts_epoch,read_tcp_seq,read_tcp_len,read_tcp_hdr_len,read_ip_len,read_frame_len,read_dnp3_func,read_dnp3_al_seq,read_dnp3_tr_seq,read_dnp3_src,read_dnp3_dst,read_dnp3_hdr_crc_ok,expected_ack,ack_frame,ack_ts_epoch,ack_tcp_seq,ack_tcp_ack,ack_tcp_len,ack_tcp_hdr_len,ack_ip_len,ack_frame_len,resp_frame,resp_ts_epoch,resp_tcp_seq,resp_tcp_ack,resp_tcp_len,resp_tcp_hdr_len,resp_ip_len,resp_frame_len,resp_dnp3_func,resp_dnp3_al_seq,resp_dnp3_tr_seq,resp_dnp3_src,resp_dnp3_dst,resp_dnp3_hdr_crc_ok,resp_dnp3_frame_total_len,clrt_ms,clrt_ns,read_to_ack_ms,read_to_read_ms,prev_resp_to_read_ms,retransmission_flags,tcp_analysis_flags,ws_malformed,protection_miss_candidate,ambiguity,validation_failure
0,0,4,1785016928.164223764,2774048478,22,32,74,88,1,0,0,1,0,True,2774048500,5,1785016928.164738409,927688168,2774048500,0,32,52,66,6,1785016928.189792458,927688168,2774048500,54,32,106,120,129,0,53,0,1,True,54,25.054049,25054049,0.514645,426.018964,,,,False,True,,
1,0,8,1785016928.590242728,2774048500,22,32,74,88,1,1,0,1,0,True,2774048522,9,1785016928.590683522,927688222,2774048522,0,32,52,66,10,1785016928.615746263,927688222,2774048522,54,32,106,120,129,1,54,0,1,True,54,25.062741,25062741,0.440794,425.975025,400.450270,,,False,True,,
2,0,12,1785016929.016217753,2774048522,22,32,74,88,1,2,0,1,0,True,2774048544,13,1785016929.017686643,927688276,2774048544,0,32,52,66,14,1785016929.042688388,927688276,2774048544,54,32,106,120,129,2,55,0,1,True,54,25.001745,25001745,1.468890,426.882879,400.471490,,,False,True,,
3,0,16,1785016929.443100632,2774048544,22,32,74,88,1,3,0,1,0,True,2774048566,17,1785016929.443544826,927688330,2774048566,0,32,52,66,18,1785016929.468618961,927688330,2774048566,54,32,106,120,129,3,56,0,1,True,54,25.074135,25074135,0.444194,425.968999,400.412244,,,False,True,,
4,0,20,1785016929.869069631,2774048566,22,32,74,88,1,4,0,1,0,True,2774048588,21,1785016929.869486755,927688384,2774048588,0,32,52,66,22,1785016929.894543721,927688384,2774048588,54,32,106,120,129,4,57,0,1,True,54,25.056966,25056966,0.417124,425.929688,400.450670,,,False,True,,
5,0,24,1785016930.294999319,2774048588,22,32,74,88,1,5,0,1,0,True,2774048610,25,1785016930.295450741,927688438,2774048610,0,32,52,66,26,1785016930.320527175,927688438,2774048610,54,32,106,120,129,5,58,0,1,True,54,25.076434,25076434,0.451422,425.979670,400.455598,,,False,True,,
6,0,28,1785016930.720978989,2774048610,22,32,74,88,1,6,0,1,0,True,2774048632,29,1785016930.722419178,927688492,2774048632,0,32,52,66,30,1785016930.747417219,927688492,2774048632,54,32,106,120,129,6,59,0,1,True,54,24.998041,24998041,1.440189,426.895563,400.451814,,,False,False,,
7,0,32,1785016931.147874552,2774048632,22,32,74,88,1,7,0,1,0,True,2774048654,33,1785016931.148342499,927688546,2774048654,0,32,52,66,34,1785016931.173409831,927688546,2774048654,54,32,106,120,129,7,60,0,1,True,54,25.067332,25067332,0.467947,425.996361,400.457333,,,False,True,,
8,0,36,1785016931.573870913,2774048654,22,32,74,88,1,8,0,1,0,True,2774048676,37,1785016931.574314918,927688600,2774048676,0,32,52,66,38,1785016931.599392219,927688600,2774048676,54,32,106,120,129,8,61,0,1,True,54,25.077301,25077301,0.444005,425.966857,400.461082,,,False,True,,
9,0,40,1785016931.999837770,2774048676,22,32,74,88,1,9,0,1,0,True,2774048698,41,1785016932.000256214,927688654,2774048698,0,32,52,66,42,1785016932.025303983,927688654,2774048698,54,32,106,120,129,9,62,0,1,True,54,25.047769,25047769,0.418444,425.894574,400.445551,,,False,True,,
10,0,44,1785016932.425732344,2774048698,22,32,74,88,1,10,0,1,0,True,2774048720,45,1785016932.427238016,927688708,2774048720,0,32,52,66,46,1785016932.452256302,927688708,2774048720,54,32,106,120,129,10,63,0,1,True,54,25.018286,25018286,1.505672,,400.428361,,,False,True,,
