run_id,block,arm_from_session_log,arm_in_frozen_table,capture,capture_sha256,frames,read_transactions_plotted,select_operate_not_plotted,retransmissions,duplicate_app_frames,malformed,unpaired_requests,out_of_order_ts,wrong_endpoint,excluded_non_finite_or_non_positive,D_A_ms,configured_CLRT_new_ms,shape_enable,p4_program,p4_source_sha256
s01,b1,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s01/raw_pcaps/s01_b1_native.pcap,b8fbc80c64f76cf60d142fde64a4ba99ce155d2234aed87c33c86a1497dee686,1448,400,80,0,0,0,0,0,0,0,20,,0,defense4_rrc_bor_unified12,7ce30494668df4271c5dcef5cb879a03ddb6a7901e7aad811a7ea9d92c55e861
s01,b2,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s01/raw_pcaps/s01_b2_obfuscated.pcap,1cd8a210461b0c4b2f201d9bea48ed9ef9496f674a9fbc76605c427ddc513fd7,1448,400,80,0,0,0,0,0,0,0,20,4.0,0,defense4_rrc_bor_unified12,7ce30494668df4271c5dcef5cb879a03ddb6a7901e7aad811a7ea9d92c55e861
s01,b3,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s01/raw_pcaps/s01_b3_obfuscated.pcap,653fcaec1b8923a7a19993c80bf8fa64ede4c469553366a06dc66f43d855b18b,1448,400,80,0,0,0,0,0,0,0,20,4.0,0,defense4_rrc_bor_unified12,7ce30494668df4271c5dcef5cb879a03ddb6a7901e7aad811a7ea9d92c55e861
s01,b4,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s01/raw_pcaps/s01_b4_native.pcap,b3589fc0345bd60027065b5101af705d06897f9a5935ee25f9f79b9f98c820b7,1448,400,80,0,0,0,0,0,0,0,20,,0,defense4_rrc_bor_unified12,7ce30494668df4271c5dcef5cb879a03ddb6a7901e7aad811a7ea9d92c55e861
s01,b5,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s01/raw_pcaps/s01_b5_obfuscated.pcap,85723f064f051c882014987a0927397a06392ad2c4515300ba831dc32d33b9c0,1448,400,80,0,0,0,0,0,0,0,20,4.0,0,defense4_rrc_bor_unified12,7ce30494668df4271c5dcef5cb879a03ddb6a7901e7aad811a7ea9d92c55e861
s01,b6,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s01/raw_pcaps/s01_b6_native.pcap,76c315a176d8f5247408c240330ce27a22647ab84a7761ecc98c82800682ebf2,1448,400,80,0,0,0,0,0,0,0,20,,0,defense4_rrc_bor_unified12,7ce30494668df4271c5dcef5cb879a03ddb6a7901e7aad811a7ea9d92c55e861
s02,b1,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s02/raw_pcaps/s02_b1_native.pcap,f36c3221ed001ef078b7473e87eea698eea570e99ce565dd6beea5217b6cea1f,1448,400,80,0,0,0,0,0,0,0,,,,,
s02,b2,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s02/raw_pcaps/s02_b2_native.pcap,b281e963709a54aa80d45cf52b737b8525770f964a4a6682d8c3555c78251e2b,1448,400,80,0,0,0,0,0,0,0,,,,,
s02,b3,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s02/raw_pcaps/s02_b3_obfuscated.pcap,eda1c7694366d670ed7cb342bd1403673c86de23da56a690b95c21be7c0fe9fc,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s02,b4,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s02/raw_pcaps/s02_b4_obfuscated.pcap,4bc06638b7b167fd0eb108dd131fd20bbb5c3397c79f04573fe535e3b243fa1f,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s02,b5,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s02/raw_pcaps/s02_b5_native.pcap,cf90fefb17f63bae9a70a8c9cf38c2cd6aadd94206b3c90e10d8ddd9482fc381,1448,400,80,0,0,0,0,0,0,0,,,,,
s02,b6,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s02/raw_pcaps/s02_b6_obfuscated.pcap,82442591f72d8d9774089da8ee39ad3eebe5ffd2bbcbf053e13555acf8c946b0,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s03,b1,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s03/raw_pcaps/s03_b1_obfuscated.pcap,5ddc528b385775bb624ee50eca9536b7113c0081cd2b9dee58fba8bd48f827a9,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s03,b2,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s03/raw_pcaps/s03_b2_obfuscated.pcap,b4ca77f7a78fcdeaec6fd12d967d9326aa500139608a454dc811c60e42f6662d,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s03,b3,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s03/raw_pcaps/s03_b3_native.pcap,ff0a18f42f676fd6354b899d1ad87cbace6a733761bf176d2d824717c824b8e0,1448,400,80,0,0,0,0,0,0,0,,,,,
s03,b4,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s03/raw_pcaps/s03_b4_native.pcap,921a1d2e32f35e50ba1ff376fb774a91e1762427fa8e3722c16eccc1797c50c1,1448,400,80,0,0,0,0,0,0,0,,,,,
s03,b5,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s03/raw_pcaps/s03_b5_obfuscated.pcap,7e804d90fa809af43e099b175dd2e96c527a694c1d9419c84b5fee5d487a84a0,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s03,b6,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s03/raw_pcaps/s03_b6_native.pcap,a88c247e1ea83a15e24a2f005547dc5fefb2276e3b0b03bf159b599652989495,1448,400,80,0,0,0,0,0,0,0,,,,,
s04,b1,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s04/raw_pcaps/s04_b1_native.pcap,3d7c9868f1cfabd97aff8fbe75b4dfb885f9d7ee9b867248c1d88210cf155dfb,1448,400,80,0,0,0,0,0,0,0,,,,,
s04,b2,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s04/raw_pcaps/s04_b2_obfuscated.pcap,05bbf92afcde4f6f39bb2e5ea6740e14f5fa594dc8b32c4ad369dc5a6e4a770a,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s04,b3,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s04/raw_pcaps/s04_b3_obfuscated.pcap,a70600a49c041df9efed0aa544d8fe3cc436b383419f9684c071da4808d3a819,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s04,b4,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s04/raw_pcaps/s04_b4_native.pcap,e0c6a05baea3ddd166f74cd6e3f9bef5161dbf6da883ac405cd054ce66301dc3,1448,400,80,0,0,0,0,0,0,0,,,,,
s04,b5,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s04/raw_pcaps/s04_b5_obfuscated.pcap,aa537ac689c5c7ec6dd9818ce05999656c20127c3e8089cc8e584e7b31cffbd2,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s04,b6,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s04/raw_pcaps/s04_b6_native.pcap,587f2978e6986f790cd69aa8c7d0b8ff8bf0bd7dd2fa3e43e9c79e133efffdc2,1448,400,80,0,0,0,0,0,0,0,,,,,
s05,b1,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s05/raw_pcaps/s05_b1_obfuscated.pcap,e8a9e53ca2df7abbbe12161eba72ea08be6bf2d8a06802454aadccac0714d1ff,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s05,b2,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s05/raw_pcaps/s05_b2_native.pcap,08aa984ceafd0f641ccc70ec217acf22bba5c20e44a8f0f326b0ef37d5d0a954,1448,400,80,0,0,0,0,0,0,0,,,,,
s05,b3,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s05/raw_pcaps/s05_b3_native.pcap,036349ee4d8db9c2708e46471e308beaea6f433605d30f2268f2ff583140704d,1448,400,80,0,0,0,0,0,0,0,,,,,
s05,b4,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s05/raw_pcaps/s05_b4_obfuscated.pcap,9f25a1f67ca027ac7b3951893af9c86b967b6f151394c01bfbb54ea124db944f,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s05,b5,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s05/raw_pcaps/s05_b5_native.pcap,a9a779a81ca296f992880de5d38284a0f44ad85e1a39c555d35c293eac67f083,1448,400,80,0,0,0,0,0,0,0,,,,,
s05,b6,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s05/raw_pcaps/s05_b6_obfuscated.pcap,7f68bff66323336b28f91d8934bc0dd772d5c26a7227ca8edef5ff7bb486f768,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s06,b1,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s06/raw_pcaps/s06_b1_native.pcap,b2bab6124478e6c6492f6e399dcad2d862626b62f2d625b157e064974877c0d4,1448,400,80,0,0,0,0,0,0,0,,,,,
s06,b2,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s06/raw_pcaps/s06_b2_native.pcap,63c18cda1ea0aab94ed6b17632cfc0f34207514e8aa769082063e4c82558c127,1448,400,80,0,0,0,0,0,0,0,,,,,
s06,b3,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s06/raw_pcaps/s06_b3_obfuscated.pcap,944a92d1231ff5a80c592cc5425a28a32dadad74bf17b65bf3c7e90dc8aa484e,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s06,b4,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s06/raw_pcaps/s06_b4_obfuscated.pcap,881331bc0b44118e63e272d795a0069aee143f5b6b447f8fe3aee91c4e9eb4a0,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s06,b5,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s06/raw_pcaps/s06_b5_native.pcap,0423b553b6e01f7efc5f649b9fcbe295a2e92e65c6bb63ecec909a53cdbd1943,1448,400,80,0,0,0,0,0,0,0,,,,,
s06,b6,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s06/raw_pcaps/s06_b6_obfuscated.pcap,d554a64c28c5f47cfd6dd1a053b7ef37277b7ac50e180416826bdf03fca0423c,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s07,b1,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s07/raw_pcaps/s07_b1_obfuscated.pcap,1d4100c6f53b6a994809d3aa9bc6205e2cd7a71afc336bd4db8ef11da960293a,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s07,b2,Obfuscated,Obfuscated,defense4/timing/evidence/campaign_v1/s07/raw_pcaps/s07_b2_obfuscated.pcap,43b1e8f962db675cdc1fa1ab044f4b2c85a55712b758132675093de06cce599f,1448,400,80,0,0,0,0,0,0,0,,4.0,,,
s07,b3,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s07/raw_pcaps/s07_b3_native.pcap,bb01ac8789b583eab06cf333157977be2eb4ce86ef20cba64058daa9d113d297,1448,400,80,0,0,0,0,0,0,0,,,,,
s07,b4,Timing OFF,Timing OFF,defense4/timing/evidence/campaign_v1/s07/raw_pcaps/s07_b4_native.pcap,1302947139c6e31f3885fb71c9ffeb8086c1911d283ab3518fe6a7e5996f000b,1448,400,80,0,0,0,0,0,0,0,,,,,
