max_ms,median_ms,min_ms,n,panel,q1_ms,q3_ms,series,x_ms,y_ecdf
,,,,abc,,,Timing OFF/READ,1.014,3.788e-05
,,,,abc,,,Timing OFF/READ,1.089,0.02503788
,,,,abc,,,Timing OFF/READ,1.093,0.05003788
,,,,abc,,,Timing OFF/READ,1.095,0.07503788
,,,,abc,,,Timing OFF/READ,1.098,0.10003788
,,,,abc,,,Timing OFF/READ,1.1,0.12503788
,,,,abc,,,Timing OFF/READ,1.102,0.15003788
,,,,abc,,,Timing OFF/READ,1.105,0.17503788
,,,,abc,,,Timing OFF/READ,1.109,0.20003788
,,,,abc,,,Timing OFF/READ,1.117,0.22503788
,,,,abc,,,Timing OFF/READ,1.138,0.25003788
,,,,abc,,,Timing OFF/READ,1.153,0.27503788
,,,,abc,,,Timing OFF/READ,1.165,0.30003788
,,,,abc,,,Timing OFF/READ,1.171,0.32503788
,,,,abc,,,Timing OFF/READ,1.183,0.35003788
,,,,abc,,,Timing OFF/READ,1.25,0.37503788
,,,,abc,,,Timing OFF/READ,1.597,0.40003788
,,,,abc,,,Timing OFF/READ,2.064,0.42503788
,,,,abc,,,Timing OFF/READ,2.081,0.45003788
,,,,abc,,,Timing OFF/READ,2.103,0.47503788
,,,,abc,,,Timing OFF/READ,2.116,0.50003788
,,,,abc,,,Timing OFF/READ,2.135,0.52503788
,,,,abc,,,Timing OFF/READ,2.161,0.55003788
,,,,abc,,,Timing OFF/READ,2.19,0.57503788
,,,,abc,,,Timing OFF/READ,2.262,0.60003788
,,,,abc,,,Timing OFF/READ,2.581,0.62503788
,,,,abc,,,Timing OFF/READ,3.059,0.65003788
,,,,abc,,,Timing OFF/READ,3.623,0.67503788
,,,,abc,,,Timing OFF/READ,3.817,0.70003788
,,,,abc,,,Timing OFF/READ,3.877,0.72503788
,,,,abc,,,Timing OFF/READ,3.916,0.75003788
,,,,abc,,,Timing OFF/READ,3.944,0.77503788
,,,,abc,,,Timing OFF/READ,3.973,0.80003788
,,,,abc,,,Timing OFF/READ,4.006,0.82503788
,,,,abc,,,Timing OFF/READ,4.046,0.85003788
,,,,abc,,,Timing OFF/READ,4.105,0.87503788
,,,,abc,,,Timing OFF/READ,4.31,0.90003788
,,,,abc,,,Timing OFF/READ,5.282,0.92503788
,,,,abc,,,Timing OFF/READ,6.541,0.95003788
,,,,abc,,,Timing OFF/READ,9.045,0.97503788
,,,,abc,,,Obfuscated/READ,3.922,3.788e-05
,,,,abc,,,Obfuscated/READ,3.98,0.02503788
,,,,abc,,,Obfuscated/READ,3.99,0.05003788
,,,,abc,,,Obfuscated/READ,3.992,0.07503788
,,,,abc,,,Obfuscated/READ,3.994,0.10003788
,,,,abc,,,Obfuscated/READ,3.995,0.12503788
,,,,abc,,,Obfuscated/READ,3.995,0.15003788
,,,,abc,,,Obfuscated/READ,3.996,0.17503788
,,,,abc,,,Obfuscated/READ,3.997,0.20003788
,,,,abc,,,Obfuscated/READ,3.997,0.22503788
,,,,abc,,,Obfuscated/READ,3.997,0.25003788
,,,,abc,,,Obfuscated/READ,3.998,0.27503788
,,,,abc,,,Obfuscated/READ,3.998,0.30003788
,,,,abc,,,Obfuscated/READ,3.998,0.32503788
,,,,abc,,,Obfuscated/READ,3.999,0.35003788
,,,,abc,,,Obfuscated/READ,3.999,0.37503788
,,,,abc,,,Obfuscated/READ,3.999,0.40003788
,,,,abc,,,Obfuscated/READ,4.0,0.42503788
,,,,abc,,,Obfuscated/READ,4.0,0.45003788
,,,,abc,,,Obfuscated/READ,4.0,0.47503788
,,,,abc,,,Obfuscated/READ,4.0,0.50003788
,,,,abc,,,Obfuscated/READ,4.0,0.52503788
,,,,abc,,,Obfuscated/READ,4.001,0.55003788
,,,,abc,,,Obfuscated/READ,4.001,0.57503788
,,,,abc,,,Obfuscated/READ,4.001,0.60003788
,,,,abc,,,Obfuscated/READ,4.002,0.62503788
,,,,abc,,,Obfuscated/READ,4.002,0.65003788
,,,,abc,,,Obfuscated/READ,4.002,0.67503788
,,,,abc,,,Obfuscated/READ,4.003,0.70003788
,,,,abc,,,Obfuscated/READ,4.003,0.72503788
,,,,abc,,,Obfuscated/READ,4.003,0.75003788
,,,,abc,,,Obfuscated/READ,4.004,0.77503788
,,,,abc,,,Obfuscated/READ,4.004,0.80003788
,,,,abc,,,Obfuscated/READ,4.005,0.82503788
,,,,abc,,,Obfuscated/READ,4.005,0.85003788
,,,,abc,,,Obfuscated/READ,4.006,0.87503788
,,,,abc,,,Obfuscated/READ,4.007,0.90003788
,,,,abc,,,Obfuscated/READ,4.01,0.92503788
,,,,abc,,,Obfuscated/READ,4.019,0.95003788
,,,,abc,,,Obfuscated/READ,4.024,0.97503788
,,,,abc,,,Timing OFF/SELECT,0.97,0.00037879
,,,,abc,,,Timing OFF/SELECT,1.024,0.02537879
,,,,abc,,,Timing OFF/SELECT,1.029,0.05037879
,,,,abc,,,Timing OFF/SELECT,1.032,0.07537879
