arm,attacker,features,fraction,iqr_hi,iqr_lo,matrix,max,mean,median,min,n_permutations,n_runs,null_max_bits,null_mean_bits,null_p95_bits,null_p99_bits,observed_bits,p_value,p_value_resolution,panel,predicted,true
,"A fixed, Timing OFF",clrt,,0.6718,0.6342,,0.7156,0.6515,0.6478,0.5978,,22,,,,,,,,a,,
,"A fixed, Timing OFF",ack_clrt,,0.7456,0.7167,,0.7822,0.7328,0.7326,0.6908,,22,,,,,,,,a,,
,"A fixed, on Obfuscated",clrt,,0.3333,0.3331,,0.3333,0.3332,0.3333,0.3328,,22,,,,,,,,a,,
,"A fixed, on Obfuscated",ack_clrt,,0.3341,0.3336,,0.3347,0.3337,0.3337,0.3306,,22,,,,,,,,a,,
,"B adaptive, on Obfuscated",clrt,,0.3333,0.3333,,0.3333,0.3333,0.3333,0.3333,,22,,,,,,,,a,,
,"B adaptive, on Obfuscated",ack_clrt,,0.6596,0.6425,,0.6858,0.651,0.6512,0.6239,,22,,,,,,,,a,,
Timing OFF,,,,,,,,,,,1000,,0.00974,0.00127,0.00531,0.00691,0.38315,0.001,0.001,b,,
Obfuscated,,,,,,,,,,,1000,,0.01004,0.00125,0.00486,0.0069,0.00394,0.0959,0.001,b,,
,,,0.0919,,,"A fixed, on Obfuscated",,,,,,,,,,,,,,cd,READ,READ
,,,0.0,,,"A fixed, on Obfuscated",,,,,,,,,,,,,,cd,SELECT,READ
,,,0.9081,,,"A fixed, on Obfuscated",,,,,,,,,,,,,,cd,OPERATE,READ
,,,0.0913,,,"A fixed, on Obfuscated",,,,,,,,,,,,,,cd,READ,SELECT
,,,0.0,,,"A fixed, on Obfuscated",,,,,,,,,,,,,,cd,SELECT,SELECT
,,,0.9087,,,"A fixed, on Obfuscated",,,,,,,,,,,,,,cd,OPERATE,SELECT
,,,0.0909,,,"A fixed, on Obfuscated",,,,,,,,,,,,,,cd,READ,OPERATE
,,,0.0,,,"A fixed, on Obfuscated",,,,,,,,,,,,,,cd,SELECT,OPERATE
,,,0.9091,,,"A fixed, on Obfuscated",,,,,,,,,,,,,,cd,OPERATE,OPERATE
,,,0.9726,,,"B adaptive, on Obfuscated",,,,,,,,,,,,,,cd,READ,READ
,,,0.018,,,"B adaptive, on Obfuscated",,,,,,,,,,,,,,cd,SELECT,READ
,,,0.0095,,,"B adaptive, on Obfuscated",,,,,,,,,,,,,,cd,OPERATE,READ
,,,0.8557,,,"B adaptive, on Obfuscated",,,,,,,,,,,,,,cd,READ,SELECT
,,,0.1345,,,"B adaptive, on Obfuscated",,,,,,,,,,,,,,cd,SELECT,SELECT
,,,0.0098,,,"B adaptive, on Obfuscated",,,,,,,,,,,,,,cd,OPERATE,SELECT
,,,0.1534,,,"B adaptive, on Obfuscated",,,,,,,,,,,,,,cd,READ,OPERATE
,,,0.0008,,,"B adaptive, on Obfuscated",,,,,,,,,,,,,,cd,SELECT,OPERATE
,,,0.8458,,,"B adaptive, on Obfuscated",,,,,,,,,,,,,,cd,OPERATE,OPERATE
