arm,median_ms,n,panel,q1_ms,q3_ms,run,txn_class
Timing OFF,2.110004,1200,a,1.119852,3.890991,s01,READ
Timing OFF,2.12121,1200,a,1.148462,3.934384,s02,READ
Timing OFF,2.120494,1200,a,1.144171,3.926992,s03,READ
Timing OFF,2.112985,1200,a,1.146078,3.930151,s04,READ
Timing OFF,2.115011,1200,a,1.122952,3.885508,s05,READ
Timing OFF,2.117992,1200,a,1.146555,3.911793,s06,READ
Timing OFF,2.108574,1200,a,1.115799,3.925085,s07,READ
Timing OFF,2.107978,1200,a,1.128673,3.91531,s08,READ
Timing OFF,2.124428,1200,a,1.143694,3.904104,s09,READ
Timing OFF,2.121449,1200,a,1.141608,3.926039,s10,READ
Timing OFF,2.114534,1200,a,1.116037,3.896475,s11,READ
Timing OFF,2.123117,1200,a,1.144648,3.918469,s12,READ
Timing OFF,2.106905,1200,a,1.118898,3.904104,s13,READ
Timing OFF,2.117872,1200,a,1.146614,3.951252,s14,READ
Timing OFF,2.125501,1200,a,1.149655,3.905058,s15,READ
Timing OFF,2.120495,1200,a,1.144707,3.921867,s16,READ
Timing OFF,2.119422,1200,a,1.148164,3.926039,s17,READ
Timing OFF,2.127648,1200,a,1.14888,3.939688,s18,READ
Timing OFF,2.128005,1200,a,1.146555,3.951252,s19,READ
Timing OFF,2.104998,1200,a,1.149714,3.911256,s20,READ
Timing OFF,2.127529,1200,a,1.140833,3.913343,s21,READ
Timing OFF,2.104521,1200,a,1.116991,3.869534,s22,READ
Timing OFF,2.011895,120,a,1.05071,3.737986,s01,SELECT
Timing OFF,2.009154,120,a,1.098574,3.844798,s02,SELECT
Timing OFF,2.030969,120,a,1.091182,3.741264,s03,SELECT
Timing OFF,2.057433,120,a,1.104772,3.820181,s04,SELECT
Timing OFF,2.011896,120,a,1.045704,3.742457,s05,SELECT
Timing OFF,2.079963,120,a,1.045704,3.793418,s06,SELECT
Timing OFF,2.030612,120,a,1.047373,3.728926,s07,SELECT
Timing OFF,2.055168,120,a,1.05232,3.784239,s08,SELECT
