title,authors,year,venue,doi,url,peer_reviewed,tier,target_protocol_or_traffic,attacker_model,defense_mechanism,timing_policy,sw_or_hw,platform,testbed,security_metric,overhead_metric,key_result,limitations,relevance_to_us,evidence_confidence
RAINCOAT: Randomization of Network Communication in Power Grid Cyber Infrastructure to Mislead Attackers,Hui Lin; Zbigniew T. Kalbarczyk; Ravishankar K. Iyer,2019,IEEE Transactions on Smart Grid 10(5),10.1109/TSG.2018.2870362,https://ieeexplore.ieee.org/document/8466028/,yes,1,power-grid SCADA data acquisition (DNP3/ICCP),attacker estimating grid physical state for FDI/control attacks,randomization of acquisition schedule + intelligent measurement spoofing,endpoint-cooperative schedule randomization (misdirection),sw,control-center + substation network model,testbed/simulation,state-estimation accuracy deviation (±2%),data-acquisition latency +<5%,randomizing acquisitions misleads attackers with small overhead,"endpoint-cooperative, alters content (spoofs), not in-network byte-preserving",THE differentiation anchor (advisor's work): randomization/misdirection/grid-content vs our normalization/indistinguishability/device-identity,high
Who's in Control of Your Control System? Device Fingerprinting for Cyber-Physical Systems,"David Formby, Preethi Srinivasan, Andrew M. Leonard, Jonathan D. Rogers, Raheem A. Beyah",2016,NDSS,10.14722/ndss.2016.23142,https://www.ndss-symposium.org/,yes,1,"ICS/SCADA (DNP3, Modbus) devices",Passive on-network fingerprinter (IDS augmentation),Cross-layer response time (CLRT) fingerprinting + physical device fingerprinting,Attack: measures response processing time distributions,sw+testbed,Real ICS relays/PLCs + OpenDNP3,Substation/testbed captures,Accurate device-type fingerprints from low-latency dedicated ICS timing,This IS the attack; also shows crafted response packets can spoof timing,The exact leak we destroy; measured CLRT is our processing-time signal,high,NA,NA
DefRec: Establishing Physical Function Virtualization to Disrupt Reconnaissance of Power Grids' Cyber-Physical Infrastructures,"Hui Lin, Jianhui Zhuang, Yih-Chun Hu, Ravishankar K. Iyer, Zbigniew T. Kalbarczyk",2020,NDSS,10.14722/ndss.2020.24365,https://www.ndss-symposium.org/ndss-paper/defrec-establishing-physical-function-virtualization-to-disrupt-reconnaissance-of-power-grids-cyber-physical-infrastructures/,yes,1,Power-grid CPS network,Reconnaissance adversary building attack knowledge,Physical function virtualization: lightweight virtual decoy nodes following real device behavior,"Deception via virtual nodes, not timing normalization",sw+testbed,Software PFV + power-grid simulation,Power-grid CPS testbed,Delays reconnaissance >100 years with <=20% added virtual nodes,"Deception/decoys, not device-identity timing normalization","Same lab; MTD/deception neighbor, complementary framing",high,NA,NA
DecIED: Scalable k-Anonymous Deception for IEC61850-Compliant Smart Grid Systems,"Dianshi Yang, Daisuke Mashima, Wei Lin, Jianying Zhou",2020,CPSS@AsiaCCS,10.1145/3384941.3409592,https://dl.acm.org/doi/10.1145/3384941.3409592,yes,1,IEC 61850 smart-grid substation IEDs,Reconnaissance attacker scanning substation,k-anonymous decoy IEDs mimicking device+communication models,Mimic device/communication model of real IEDs (k-1 decoys),sw,Single industrial PC hosting 200+ decoys,Substation network emulation,"k-anonymous smokescreen, 200+ decoys per host","k-anonymity via decoys (mimicry), not release-timing normalization of a real device",k-anonymity/anonymity-set concept maps to our normalization framing,high,NA,NA
HoneyPLC: A Next-Generation Honeypot for Industrial Control Systems,"Efren Lopez-Morales, Carlos Rubio-Medrano, Adam Doupe, Yan Shoshitaishvili, Ruoyu Wang, Tiffany Bao, Gail-Joon Ahn",2020,ACM CCS,10.1145/3372297.3423356,https://dl.acm.org/doi/10.1145/3372297.3423356,yes,1,PLC-based ICS,Reconnaissance attacker / scanner,High-interaction honeypot passing as a real PLC to reconnaissance tools,"Deception, device impersonation",sw+testbed,Software honeypot on AWS,Internet-facing deployment,Fingerprinted as real device by recon tools; engaged attackers,"Deception, not a timing-normalization defense for real devices","Conceptually related (device indistinguishability), not timing",med,NA,NA
Exploiting traffic periodicity in industrial control networks,"Rafael Ramos Regis Barbosa, Ramin Sadre, Aiko Pras",2016,International Journal of Critical Infrastructure Protection 13,10.1016/j.ijcip.2016.02.004,https://www.sciencedirect.com/science/article/abs/pii/S1874548216300221,yes,1,Industrial control networks (SCADA),Anomaly/IDS context (attacker uses periodicity),Learn periodic timing/message-repetition models (whitelist),Timing/periodicity modeling of ICS traffic,sw,Real ICS traffic traces,3 real-world industrial traces,Automatically learns periodic traffic models for IDS,"Attacker-side timing model, not a defense; shows ICS timing is highly regular",Establishes that ICS timing is regular/learnable (why our leak is exploitable),high,NA,NA
GTID: A Technique for Physical Device and Device Type Fingerprinting,"Sakthi Vignesh Radhakrishnan, A. Selcuk Uluagac, Raheem Beyah",2015,IEEE Transactions on Dependable and Secure Computing 12(5),10.1109/TDSC.2014.2369033,https://ieeexplore.ieee.org/document/6951398,yes,1,"Networked devices (802.11, wired-side)",Passive/active device fingerprinter,Inter-arrival-time statistics + ANN classification for device/type ID,Attack: inter-arrival-time signatures,sw+testbed,"Testbed + live campus network, 37 devices",Isolated + live network,Accurate device/type fingerprints from inter-arrival timing,"Attack (timing-based device ID), the fingerprint class we defend against",Confirms inter-arrival/timing is a strong device-ID feature,high,NA,NA
TIDF: Timing-Based Device Fingerprinting for PLCs,"L. Xiang, H. Han",2025,"IFIP Int'l Conf. on Network and Parallel Computing (NPC 2025), Springer LNCS",10.1007/978-3-032-10466-3_11,https://link.springer.com/chapter/10.1007/978-3-032-10466-3_11,yes,1,ICS/PLC network traffic,detect unauthorized/spoofed PLC via timing,fingerprint via communication processing time + clock-pulse period (DBSCAN + OCSVM),NA (detection),sw + testbed,"13 real PLCs (Siemens, Xinje)",classification accuracy / robustness to forgery,low overhead (claimed),communication processing time is a discriminative PLC fingerprint; robust to basic forgery,metadata/abstract only; PLC-scope; single testbed,"corroborates that processing-time (our leaked quantity) fingerprints ICS hardware, on real PLCs not just software",med,NA
Passive Fingerprinting of SCADA in Critical Infrastructure Network without Deep Packet Inspection,"Sungho Jeon, Jeong-Han Yun, Seungoh Choi, Woo-Nyon Kim",2016,arXiv preprint (no verified peer-reviewed version),10.48550/arXiv.1608.07679,https://arxiv.org/abs/1608.07679,preprint,1,SCADA field devices/masters,Passive fingerprinter without DPI,"Port/role inference from passive traffic, no DPI",Attack: passive fingerprinting,sw,Real network traffic (6 weeks),Real ICS network,High F-score (~1) device/role inference,"Preprint, not peer-reviewed; abstract-only verification",Passive SCADA fingerprinting w/o DPI motivates our passive-observer model,med,NA,NA
Time Constant: Actuator Fingerprinting using Transient Response of Device and Process in ICS,Chuadhry Mujeeb Ahmed et al.,2024,arXiv preprint (no verified peer-reviewed version),10.48550/arXiv.2409.16536,https://arxiv.org/abs/2409.16536,preprint,1,ICS actuators/physical process,Command-injection/replay attacker,Physical transient-response fingerprint (copy-resistant),Physical-process transient timing,sw+testbed,ICS testbed,Water/process testbed,Copy-resistant actuator fingerprint resisting replay,"Physical-process fingerprint, not network-timing device-identity; only conceptually related","Preprint; conceptually related (physical timing), unsuitable as our target",low,NA,NA
Remote Physical Device Fingerprinting,"Tadayoshi Kohno, Andre Broido, K. C. Claffy",2005,IEEE Transactions on Dependable and Secure Computing 2(2),10.1109/TDSC.2005.26,https://ieeexplore.ieee.org/document/1453519,yes,2,Internet hosts,Remote passive fingerprinter,Clock-skew estimation from TCP timestamps,Attack: exploits clock-skew microdeviations,sw,Real Internet measurement,Cross-Internet,Consistent device fingerprints across hops/locations,Timing/clock-skew fingerprint class; our TCP timestamps expose similar signal,Motivates a timing/clock-skew leak beyond processing time,high,NA,NA
Classifying IoT Devices in Smart Environments Using Network Traffic Characteristics,"Arunan Sivanathan, Hassan Habibi Gharakheili, Franco Loi, Adam Radford, Chamith Wijenayake, Arun Vishwanath, Vijay Sivaraman",2019,IEEE Transactions on Mobile Computing 18(8),10.1109/TMC.2018.2866249,https://ieeexplore.ieee.org/document/8440758,yes,2,IoT devices,Passive traffic classifier,Statistical/ML classification from traffic characteristics incl. timing,Attack: supervised device classification,sw+testbed,28-device smart-environment testbed,Instrumented smart environment,Accurate IoT device classification from traffic features,Attack; the device-fingerprinting task class our defense must break,Sets the supervised-classifier attacker template (T1/A2),high,NA,NA
"Peek-a-Boo, I Still See You: Why Efficient Traffic Analysis Countermeasures Fail","Kevin P. Dyer, Scott E. Coull, Thomas Ristenpart, Thomas Shrimpton",2012,IEEE S&P,10.1109/SP.2012.28,https://ieeexplore.ieee.org/document/6234422,yes,2,Encrypted web traffic (WF),Passive traffic analyst,BuFLO constant-rate fixed-size transmission,Constant-rate + padding,sw,Simulation over WF datasets,WF dataset,Coarse countermeasures fail; BuFLO near-limit at high overhead,Canonical constant-rate defense; unsuitable latency/bandwidth for control,Defines the constant-time endpoint of our design space,high,NA,NA
A Systematic Approach to Developing and Evaluating Website Fingerprinting Defenses,Xiang Cai; Rishab Nithyanand; Tao Wang; Rob Johnson; Ian Goldberg,2014,ACM CCS,10.1145/2660267.2660362,https://dl.acm.org/doi/10.1145/2660267.2660362,yes,2,Tor web traffic,supervised WF classifier (open-world),Tamaraw padding defense,rate/padding shaping,sw,simulation on trace corpora,trace-driven,security/bandwidth trade-off; lower bounds,bandwidth overhead,framework for evaluating WF attacks/defenses + Tamaraw defense,methodology template for defense eval + Pareto/lower-bound framing,high,NA
CS-BuFLO: A Congestion Sensitive Website Fingerprinting Defense,"Xiang Cai, Rishab Nithyanand, Rob Johnson",2014,WPES,10.1145/2665943.2665949,https://dl.acm.org/doi/10.1145/2665943.2665949,yes,2,Tor web traffic (WF),Passive WF attacker,Congestion-sensitive BuFLO (rate adapts to congestion),Constant-rate + congestion adaptation + padding,sw,Simulation over WF datasets,WF dataset,~2.3-2.8x overhead; 6x closer to trade-off bound,Congestion-awareness maps to our RTO constraint; padding-based,"Conceptually related; congestion-adaptive idea reusable, mechanism not",med,NA,NA
Walkie-Talkie: An Efficient Defense Against Passive Website Fingerprinting Attacks,"Tao Wang, Ian Goldberg",2017,USENIX Security,NA,https://www.usenix.org/conference/usenixsecurity17/technical-sessions/presentation/wang-tao,yes,2,Tor web traffic (WF),Passive WF attacker,Half-duplex + burst molding to create collisions (supersequences),"Burst molding, direction control, added padding",sw,Simulation + browser,WF dataset,Provable indistinguishability within collision set at moderate cost,"Anonymity-set/collision idea = our ""make devices alike""; needs endpoint cooperation",Conceptual (collision/anonymity set); not byte-preserving in-network,high,NA,NA
Toward an Efficient Website Fingerprinting Defense,Marc Juarez; Mohsen Imani; Mike Perry; Claudia Díaz; Matthew Wright,2016,ESORICS (LNCS 9878) pp.27-46,10.1007/978-3-319-45744-4_2,https://link.springer.com/chapter/10.1007/978-3-319-45744-4_2,yes,2,Tor web traffic,supervised WF classifier,WTF-PAD adaptive padding,inter-packet timing/padding shaping,sw,trace-driven simulation,trace-driven,"attack accuracy 91%->20%, zero latency, <60% bandwidth",bandwidth overhead,adaptive-padding WF defense with zero added latency,precedent for low/zero-latency shaping defenses; comparator framing,high,NA
Zero-delay Lightweight Defenses against Website Fingerprinting,Jiajun Gong; Tao Wang,2020,USENIX Security pp.717-734,NA,https://www.usenix.org/conference/usenixsecurity20/presentation/gong,yes,2,Tor web traffic,supervised/deep WF classifier,FRONT and GLUE (dummy-packet) defenses,zero-delay padding,sw,trace-driven,trace-driven,zero-latency defenses; robustness vs attacker,bandwidth overhead,evaluates what lightweight defenses survive strong attackers,comparator for low-latency defenses + the survives-strong-attacker mindset,high,NA
RegulaTor: A Straightforward Website Fingerprinting Defense,"James K. Holland, Nicholas Hopper",2022,PoPETs 2022(2),10.2478/popets-2022-0049,https://petsymposium.org/popets/2022/popets-2022-0049.php,yes,2,Tor web traffic (WF),Passive WF attacker,Shape traffic into regular surge patterns,Surge-regularized send schedule + padding,sw,Simulation over WF datasets,WF dataset,Strong defense at moderate overhead,Surge-regularization is a timing-shape idea; mechanism pads,Conceptual (regularize timing shape),med,NA,NA
Surakav: Generating Realistic Traces for a Strong Website Fingerprinting Defense,"Jiajun Gong, Wuqi Zhang, Charles Zhang, Tao Wang",2022,IEEE S&P,10.1109/SP46214.2022.9833722,https://ieeexplore.ieee.org/document/9833722,yes,2,Tor web traffic (WF),Passive WF attacker,GAN-generated reference traces; regulate real traffic to follow them,Follow a generated decoy trace (rate regulation + padding),sw,Simulation + prototype,WF dataset,Strong defense; realistic decoy traces reduce overhead,Direct analog of our V3 decoy-match; reshapes rate/bursts with dummies,"Conceptual (decoy-trace matching), mechanism not byte-preserving",high,NA,NA
Deep Fingerprinting: Undermining Website Fingerprinting Defenses with Deep Learning,"Payap Sirinam, Mohsen Imani, Marc Juarez, Matthew Wright",2018,ACM CCS,10.1145/3243734.3243768,https://dl.acm.org/doi/10.1145/3243734.3243768,yes,2,Tor web traffic (WF),Deep-learning passive attacker,CNN WF attack (breaks WTF-PAD),"Attack, not defense",sw,Simulation over WF datasets,WF dataset,>98% no-defense; >90% vs WTF-PAD,Defines the deep-classifier (A3) attacker bar for our evaluation,Sets adversary strength; motivates provable normalization over heuristic padding,high,NA,NA
k-fingerprinting: A Robust Scalable Website Fingerprinting Technique,"Jamie Hayes, George Danezis",2016,USENIX Security,NA,https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/hayes,yes,2,Tor / hidden-service traffic (WF),Passive WF attacker,Random-forest attack with feature importance,"Attack, not defense",sw,Simulation over WF datasets,WF dataset,Robust scalable WF; identifies key features,Supervised RF baseline (A2) and feature-importance methodology,Reusable attacker baseline for our evaluation,high,NA,NA
Tik-Tok: The Utility of Packet Timing in Website Fingerprinting Attacks,"Mohammad Saidur Rahman, Payap Sirinam, Nate Mathews, Kantha Girish Gangadhara, Matthew Wright",2020,PoPETs 2020(3),10.2478/popets-2020-0043,https://petsymposium.org/popets/2020/popets-2020-0043.php,yes,2,Tor web traffic (WF),Deep-learning passive attacker,"Timing-based features (bursts, raw/directional timing) in DL WF","Attack, not defense",sw,Simulation over WF datasets; GitHub artifacts,WF dataset,Packet timing materially improves WF accuracy,Proves timing (not just size) leaks; motivates timing normalization,Directly motivates the timing axis; artifacts available,high,NA,NA
Timing Analysis in Low-Latency Mix Networks: Attacks and Defenses,"Vitaly Shmatikov, Ming-Hsiu Wang",2006,ESORICS (LNCS 4189),10.1007/11863908_2,https://link.springer.com/chapter/10.1007/11863908_2,yes,2,Low-latency mix / anonymity,Passive timing correlator,Adaptive padding: statistically fill inter-packet gaps under a delay budget,Adaptive padding (bounded delay + dummies),sw+sim,Simulation,Mix-network simulation,Adaptive padding reduces timing-correlation success,"Origin of adaptive padding; conceptual ancestor, adds packets",Conceptual (fill timing distribution under budget),high,NA,NA
Dependent link padding algorithms for low latency anonymity systems,"Wei Wang, Mehul Motani, Vikram Srinivasan",2008,ACM CCS,10.1145/1455770.1455812,https://dl.acm.org/doi/10.1145/1455770.1455812,yes,2,Low-latency anonymity systems,Passive traffic analyst,Dependent link padding with strict delay bound; indistinguishable flows,Bounded-delay release + cover traffic,sw+sim,Analysis + simulation,Anonymity-network model,O(log m) covering rate for full anonymity of m Poisson users,Bounded-delay-with-indistinguishability = our RTO-bounded normalization framing,Conceptual+metric (strict delay bound with indistinguishability),high,NA,NA
The Loopix Anonymity System,"Ania M. Piotrowska, Jamie Hayes, Tariq Elahi, Sebastian Meiser, George Danezis",2017,USENIX Security,NA,https://www.usenix.org/conference/usenixsecurity17/technical-sessions/presentation/piotrowska,yes,2,Anonymous messaging,Global passive (+active) adversary,Poisson mixing: independent exponential per-message delay + cover loops,Randomized per-message release (exponential) + cover traffic,sw+testbed,Prototype network of mix nodes,Deployed prototype,"300+ msg/s, <1.5ms mixing overhead, second-scale latency",Canonical randomized-release scheduler; second-scale latency unsuitable for control,Conceptual (release-time as privacy lever); shows randomized delay is averageable-adjacent,high,NA,NA
Stop-and-Go-MIXes Providing Probabilistic Anonymity in an Open System,"Dogan Kesdogan, Jan Egner, Roland Buschkes",1998,Information Hiding (LNCS 1525),10.1007/3-540-49380-8_7,https://link.springer.com/chapter/10.1007/3-540-49380-8_7,yes,2,Mix networks,Passive global adversary,Per-message individual delay from a distribution within a time window,Randomized per-message release schedule,sw,Analysis,NA,Probabilistic anonymity via per-message delay windows,Earliest per-message randomized-release scheduler,Conceptual ancestor of randomized normalization,med,NA,NA
Timing Attacks in Low-Latency Mix Systems,"Brian N. Levine, Michael K. Reiter, Chenxi Wang, Matthew Wright",2004,Financial Cryptography (LNCS 3110),10.1007/978-3-540-27809-2_25,https://link.springer.com/chapter/10.1007/978-3-540-27809-2_25,yes,2,Low-latency mix systems,Passive timing correlator,Defensive dropping against timing correlation,Bounded countermeasure + drops,sw+sim,Simulation,Mix simulation,Defensive dropping limits timing-correlation attacks,Shows i.i.d.-style timing countermeasures limited vs many-sample correlator,Supports RQ4 averageability argument,high,NA,NA
Predictive black-box mitigation of timing channels,"Aslan Askarov, Danfeng Zhang, Andrew C. Myers",2010,ACM CCS,10.1145/1866307.1866341,https://dl.acm.org/doi/10.1145/1866307.1866341,yes,2,General timing channels,Recipient observing output timing,Delay outputs to a predicted schedule; bound timing leakage,Scheduled release (predict-then-enforce),sw,Prototype,NA,Bounded leakage; grows slowly (log) with run time,"Formal backbone of release=max(ready,deadline) with provable bound",Directly reusable defense framework,high,NA,NA
Predictive mitigation of timing channels in interactive systems,"Danfeng Zhang, Aslan Askarov, Andrew C. Myers",2011,ACM CCS,10.1145/2046707.2046772,https://dl.acm.org/doi/10.1145/2046707.2046772,yes,2,Interactive multi-client systems,Clients observing response timing,Generalized predictive mitigation to request/response systems,Scheduled response release,sw,Prototype,NA,Bounds timing leakage across multiple clients,Extends predictive mitigation to request/response (our exact shape),Directly reusable,high,NA,NA
A Provably Secure and Efficient Countermeasure against Timing Attacks,"Boris Kopf, Markus Durmuth",2009,IEEE CSF,10.1109/CSF.2009.21,https://ieeexplore.ieee.org/document/5230634,yes,2,Crypto timing side channels,Unknown-message timing attacker,Bucketing: quantize response time into k buckets; tunable leakage bound,Bucketed (quantized) release deadlines,sw,Analysis + implementation,NA,Leakage <=,O,log(n+1) bits; tunable trade-off,Bucketing = low-overhead instantiation of our size-decorrelation V4,Directly reusable mechanism,high
Reducing Timing Channels with Fuzzy Time,Wei-Ming Hu,1991,IEEE S&P,10.1109/RISP.1991.130768,https://ieeexplore.ieee.org/document/130768,yes,2,Covert timing channels (VAX VMM),Colluding processes,Add noise to clocks/event timing (fuzzy time),Randomized timing perturbation,sw,VMM implementation,Secure VMM,Reduces covert timing channel bandwidth,Foundational jitter approach; the randomization baseline averaging defeats,Supports RQ4 (jitter is averageable),high,NA,NA
"A pump for rapid, reliable, secure communication","Myong H. Kang, Ira S. Moskowitz",1993,ACM CCS,10.1145/168588.168604,https://dl.acm.org/doi/10.1145/168588.168604,yes,2,MLS communication (ACK timing channel),Colluding low/high processes,Buffer + release ACKs on moving-average of service times (decouple ACK timing),ACK-release smoothing (moving average),sw,Prototype (NRL Pump),NA,Bounds the ACK-timing covert channel low<->high,Closest prior mechanism manipulating ACK timing to bound a leak,Strong precedent for smoothed ACK release; different threat,high,NA,NA
A Network Pump,"Myong H. Kang, Ira S. Moskowitz, Daniel C. Lee",1996,IEEE Transactions on Software Engineering 22(5),10.1109/32.502225,https://ieeexplore.ieee.org/document/502225,yes,2,MLS networks (ACK timing),Colluding processes + DoS,Network-scale Pump balancing covert channel vs congestion/fairness,Buffered ACK-release scheduling,sw,Prototype architecture,NA,Extends Pump to networks; bounds covert channel,Networked ACK-timing mitigation; congestion/fairness trade-off like our RTO budget,Precedent for network ACK-timing normalization,high,NA,NA
An information-theoretic and game-theoretic study of timing channels,"James Giles, Bruce Hajek",2002,IEEE Transactions on Information Theory 48(9),10.1109/TIT.2002.801405,https://ieeexplore.ieee.org/document/1027777,yes,2,Abstract timing channels,Jammer/defender (delay budget),Delay-jammer under max/avg-delay or buffer constraint; capacity min-max,Bounded-delay jamming (theory),theory,Analysis,NA,Characterizes timing-channel capacity under delay budgets,Quantifies leakage surviving a delay/normalization budget (RQ4 theory),Directly reusable theoretical framework,high,NA,NA
Opportunities and Limits of Remote Timing Attacks,"Scott A. Crosby, Dan S. Wallach, Rudolf H. Riedi",2009,ACM Transactions on Information and System Security 12(3),10.1145/1455526.1455530,https://dl.acm.org/doi/10.1145/1455526.1455530,yes,2,Remote timing side channels,Remote passive timing attacker,Attack analysis: filtering network jitter by many-sample statistics,Attack (defeats jitter by averaging),sw,Real network measurement,LAN/WAN,Extracts fine timing despite network jitter with enough samples,Direct evidence that additive jitter is averageable (RQ4),Core support for normalization > jitter,high,NA,NA
Remote timing attacks are practical,"David Brumley, Dan Boneh",2005,Computer Networks 48(5) (also USENIX Security 2003),10.1016/j.comnet.2005.01.010,https://www.usenix.org/conference/12th-usenix-security-symposium/remote-timing-attacks-are-practical,yes,2,Remote crypto timing side channel,Remote passive attacker,Attack: extract RSA key via response-time timing,Attack (averages many timed queries),sw,Real server measurement,LAN,Extracts private key over the network via timing,Practical proof remote timing attacks average out noise,Supports RQ4 averageability,high,NA,NA
ditto: WAN Traffic Obfuscation at Line Rate,"Roland Meier, Vincent Lenders, Laurent Vanbever",2022,NDSS,10.14722/ndss.2022.24326,https://www.ndss-symposium.org/ndss-paper/ditto-wan-traffic-obfuscation-at-line-rate/,yes,2,WAN encrypted traffic,Passive traffic analyst,Pad packets + inject chaff so obfuscated traffic independent of production,Constant-rate padding + chaff at line rate,hw,"Intel Tofino programmable switch (P4, SDE 8.9)","Testbed, 100 Gbps",Runs at 100 Gbps line rate; negligible overhead to 70 Gbps,Closest platform/systems neighbor (Tofino in-network); NOT byte-preserving,Systems baseline; our byte-preserving/OT-specialized angle differentiates,high,NA,NA
Pacer: Comprehensive Network Side-Channel Mitigation in the Cloud,"Aastha Mehta, Mohamed Alzayat, Roberta De Viti, Bjorn B. Brandenburg, Peter Druschel, Deepak Garg",2022,USENIX Security,NA,https://www.usenix.org/conference/usenixsecurity22/presentation/mehta,yes,2,Cloud tenant network traffic,Colocated tenant / passive observer,Shape guest traffic outside guest so shape is secret-independent,Deterministic traffic shaping (paced release + padding),sw,Hypervisor + guest-kernel extension,IaaS cloud testbed,Eliminates network side channel end-to-end; respects flow/congestion control,"""Shape independent of secret"" = our exact goal; hypervisor padding, heavy",Conceptual+metric framing (secret-independent shape),high,NA,NA
