Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 10
  Number of stages for ingress table allocation: 10
  Number of stages for egress table allocation: 0
Critical path length through the table dependency graph: 8
Number of tables allocated: 70
+-------+-----------------+---------------------------------------+
| Stage | Min / Max Stage |              Table Name               |
+-------+-----------------+---------------------------------------+
|   0   |    [ -, - ]     | tbl_dnp3_timing_normalizer_pktgen875  |
|   0   |    [ 0, 4 ]     | tbl_dnp3_timing_normalizer_pktgen882  |
|   0   |    [ 0, 5 ]     |           Ingress.tbl_guard           |
|   0   |    [ 0, 5 ]     |                cond-36                |
|   0   |    [ 0, 5 ]     | tbl_dnp3_timing_normalizer_pktgen889  |
|   0   |    [ 0, 5 ]     | tbl_dnp3_timing_normalizer_pktgen895  |
|   0   |    [ 0, 6 ]     | tbl_dnp3_timing_normalizer_pktgen892  |
|   0   |   [ 0, 11 ]     |             tbl_drop_pkt              |
|   0   |   [ 0, 11 ]     | tbl_dnp3_timing_normalizer_pktgen870  |
|   1   |    [ 1, 5 ]     | tbl_dnp3_timing_normalizer_pktgen897  |
|   1   |    [ 1, 5 ]     |         Ingress.tbl_build_now         |
|   2   |    [ 2, 6 ]     |        Ingress.tbl_build_cand         |
|   2   |    [ 2, 6 ]     | tbl_dnp3_timing_normalizer_pktgen908  |
|   2   |    [ 2, 7 ]     | tbl_dnp3_timing_normalizer_pktgen906  |
|   3   |    [ 3, 7 ]     |       Ingress.tbl_state_decode        |
|   3   |    [ 3, 8 ]     |       Ingress.tbl_pktgen_active       |
|   4   |    [ 3, 8 ]     | tbl_dnp3_timing_normalizer_pktgen1042 |
|   4   |    [ 4, 8 ]     | tbl_dnp3_timing_normalizer_pktgen1044 |
|   4   |    [ 4, 8 ]     | tbl_dnp3_timing_normalizer_pktgen1046 |
|   4   |    [ 4, 8 ]     | tbl_dnp3_timing_normalizer_pktgen923  |
|   4   |    [ 4, 8 ]     | tbl_dnp3_timing_normalizer_pktgen925  |
|   5   |    [ 5, 9 ]     |      Ingress.tbl_build_clrt_diff      |
|   5   |    [ 5, 9 ]     |      Ingress.tbl_deadline_expiry      |
|   5   |   [ 5, 10 ]     |                cond-43                |
|   5   |   [ 5, 10 ]     |                cond-44                |
|   5   |   [ 5, 10 ]     | tbl_dnp3_timing_normalizer_pktgen962  |
|   5   |   [ 5, 10 ]     | tbl_dnp3_timing_normalizer_pktgen957  |
