poll_number,tcp_session_sport,dnp3_app_seq,request_seq_app,request_timestamp,pure_tcp_ack_timestamp,response_timestamp,request_to_ack_ms,ack_to_response_clrt_ms,request_to_response_ms,separate_pure_ack,request_wire_bytes,response_wire_bytes,dnp3_response_length,fir,fin,con,function_code,function_name,iin_lsb,iin_msb,decoded_point_count,completion,timeout,error,notes
1,37541,0,0,1784834686.991499,1784834686.992021,1784834686.993788,0.5221366882324219,1.7669200897216797,2.2890567779541016,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
2,37541,1,1,1784834687.996206,1784834687.996669,1784834687.999504,0.4630088806152344,2.8350353240966797,3.298044204711914,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
3,37541,2,2,1784834689.001665,1784834689.00215,1784834689.00486,0.4849433898925781,2.7098655700683594,3.1948089599609375,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
4,37541,3,3,1784834690.006997,1784834690.008466,1784834690.010238,1.4688968658447266,1.7719268798828125,3.240823745727539,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
5,37541,4,4,1784834691.012327,1784834691.013176,1784834691.014899,0.8490085601806641,1.7230510711669922,2.5720596313476562,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
6,37541,5,5,1784834692.017008,1784834692.021795,1784834692.023531,4.786968231201172,1.7359256744384766,6.522893905639648,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
7,37541,6,6,1784834693.025652,1784834693.026348,1784834693.029135,0.6961822509765625,2.786874771118164,3.4830570220947266,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
8,37541,7,7,1784834694.031219,1784834694.031738,1784834694.033513,0.5190372467041016,1.7750263214111328,2.2940635681152344,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
9,37541,8,8,1784834695.035627,1784834695.036145,1784834695.039985,0.5180835723876953,3.8399696350097656,4.358053207397461,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
10,37541,9,9,1784834696.042071,1784834696.042586,1784834696.049636,0.514984130859375,7.049798965454102,7.564783096313477,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
11,37541,10,10,1784834697.051727,1784834697.052742,1784834697.068021,1.0149478912353516,15.279054641723633,16.294002532958984,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
12,37541,11,11,1784834698.070107,1784834698.07062,1784834698.074963,0.5130767822265625,4.3430328369140625,4.856109619140625,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
13,37541,12,12,1784834699.077044,1784834699.078376,1784834699.084011,1.3320446014404297,5.63502311706543,6.967067718505859,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
14,37541,13,13,1784834700.086081,1784834700.087023,1784834700.088985,0.9419918060302734,1.9619464874267578,2.9039382934570312,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
15,37541,14,14,1784834701.091068,1784834701.091582,1784834701.094055,0.5140304565429688,2.4728775024414062,2.986907958984375,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
16,37541,15,15,1784834702.096108,1784834702.096592,1784834702.108993,0.4839897155761719,12.401103973388672,12.885093688964844,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
17,37541,0,0,1784834703.111084,1784834703.111553,1784834703.114425,0.46896934509277344,2.871990203857422,3.3409595489501953,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
18,37541,1,1,1784834704.116522,1784834704.117503,1784834704.124118,0.9808540344238281,6.615161895751953,7.596015930175781,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
19,37541,2,2,1784834705.126154,1784834705.126683,1784834705.130179,0.5290508270263672,3.495931625366211,4.024982452392578,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
20,37541,3,3,1784834706.132223,1784834706.132786,1784834706.140268,0.5631446838378906,7.482051849365234,8.045196533203125,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
21,37541,4,4,1784834707.142353,1784834707.143541,1784834707.154235,1.188039779663086,10.693788528442383,11.881828308105469,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
22,37541,5,5,1784834708.156378,1784834708.156852,1784834708.159125,0.47397613525390625,2.273082733154297,2.747058868408203,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
23,37541,6,6,1784834709.16126,1784834709.161781,1784834709.165222,0.5211830139160156,3.44085693359375,3.9620399475097656,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
24,37541,7,7,1784834710.16738,1784834710.167903,1784834710.175091,0.5228519439697266,7.188081741333008,7.710933685302734,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
25,37541,8,8,1784834711.177221,1784834711.17829,1784834711.184276,1.0688304901123047,5.986213684082031,7.055044174194336,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
26,37541,9,9,1784834712.186376,1784834712.186899,1784834712.18932,0.5228519439697266,2.421140670776367,2.9439926147460938,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
27,37541,10,10,1784834713.191425,1784834713.191923,1784834713.195331,0.4978179931640625,3.408193588256836,3.9060115814208984,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
28,37541,11,11,1784834714.197434,1784834714.198005,1784834714.205387,0.5710124969482422,7.38215446472168,7.953166961669922,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
29,37541,12,12,1784834715.207486,1784834715.208701,1784834715.214395,1.2149810791015625,5.694150924682617,6.90913200378418,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
30,37541,13,13,1784834716.216529,1784834716.217356,1784834716.219504,0.8270740509033203,2.148151397705078,2.9752254486083984,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
31,37541,14,14,1784834717.221612,1784834717.222207,1784834717.224394,0.5950927734375,2.187013626098633,2.782106399536133,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
32,37541,15,15,1784834718.226522,1784834718.226993,1784834718.231079,0.4711151123046875,4.086017608642578,4.557132720947266,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
