source,wire_len,ip_total_len,dnp3_len,tcp_payload_len
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
physical_relay_300poll,200,186,115,134
