txn_id,device,flow_id,role,native_size,req_bytes,mode,n_segments,total_bytes,first_seg,max_seg,min_seg,mean_seg,last_seg
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#1,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,native,1,54,54,54,54,54.0,54
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#1,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc1,4,54,10,18,8,13.5,8
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#1,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc2,2,54,28,28,26,27.0,26
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#1,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc4,1,54,54,54,54,54.0,54
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#2,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,native,1,54,54,54,54,54.0,54
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#2,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc1,4,54,10,18,8,13.5,8
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#2,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc2,2,54,28,28,26,27.0,26
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#2,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc4,1,54,54,54,54,54.0,54
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#3,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,native,1,54,54,54,54,54.0,54
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#3,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc1,4,54,10,18,8,13.5,8
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#3,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc2,2,54,28,28,26,27.0,26
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#3,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc4,1,54,54,54,54,54.0,54
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#4,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,native,1,54,54,54,54,54.0,54
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#4,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc1,4,54,10,18,8,13.5,8
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#4,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc2,2,54,28,28,26,27.0,26
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#4,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc4,1,54,54,54,54,54.0,54
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#5,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,native,1,54,54,54,54,54.0,54
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#5,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc1,4,54,10,18,8,13.5,8
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#5,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc2,2,54,28,28,26,27.0,26
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#5,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc4,1,54,54,54,54,54.0,54
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#6,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,native,1,54,54,54,54,54.0,54
SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000#6,SEL751,SEL751.pcap|10.0.0.3:38527>10.0.0.1:20000,real,54,22,split_bpc1,4,54,10,18,8,13.5,8
