policy,c,K,n,mean_added_bytes,p95_added_bytes,max_added_bytes,mean_overhead_pct,mean_emitted_bytes,n_distinct_shapes,anonymity_k_devices,rarest_shape_txns,frac_txns_in_k1_shapes,MI_shape_vs_native_size_bits,MI_shape_vs_native_size_null_p95,MI_shape_vs_native_size_p,MI_shape_vs_device_bits,MI_shape_vs_device_null_p95,MI_shape_vs_device_p,device_BA,device_BA_ci95_lo,device_BA_ci95_hi
native,,,11494,0.0,0.0,0,0.0,47.247259439707676,6,1,1,0.21419871237167218,1.5511425007641102,0.6476330207221517,0.000999000999000999,0.49364348055778806,0.49443028926966615,0.17582417582417584,0.5003600463429568,0.44642203721983215,0.5118216183517257
adaptive,16.0,,11494,9.024186532103707,11.0,11,19.099915294810888,56.27144597181138,5,1,1,0.00809117800591613,1.0677767577035062,0.291260445032048,0.000999000999000999,0.01027773749718405,0.01248064225382655,0.3956043956043956,0.3357775814270197,0.28054723518599034,0.35370730879811696
adaptive,18.0,,11494,10.85105272315991,17.0,17,22.966523036128606,58.098312162867586,5,1,1,0.21419871237167218,0.80716536618675,0.49858704266819664,0.000999000999000999,0.3322046433706518,0.3322046433706518,0.08791208791208792,0.5003600463429568,0.44642203721983215,0.5118216183517257
adaptive,24.0,,11494,13.095180093962068,18.0,22,27.71627444481273,60.34243953366974,5,1,1,0.00809117800591613,1.0677767577035064,0.291260445032048,0.000999000999000999,0.01027773749718405,0.01248064225382655,0.4065934065934066,0.3357775814270197,0.28054723518599034,0.35370730879811696
adaptive,32.0,,11494,17.097964155211415,27.0,27,36.18826648989062,64.34522359491909,4,1,1,0.00809117800591613,0.07583292625882336,0.011124644328350754,0.000999000999000999,0.010264441655133183,0.012107439819502432,0.3516483516483517,0.3357775814270197,0.28054723518599034,0.35370730879811696
adaptive,36.0,,11494,25.1411171045763,35.0,35,53.21179980112695,72.38837654428397,4,1,1,0.00809117800591613,0.07583292625882358,0.011124644328350532,0.000999000999000999,0.010264441655133405,0.012107439819502432,0.25274725274725274,0.3357775814270197,0.28054723518599034,0.35370730879811696
adaptive,48.0,,11494,24.923960327127197,42.0,42,52.75218207932825,72.17121976683487,4,1,1,0.002523055507221159,1.0236218514198474,0.2838120148482186,0.000999000999000999,0.0033365041332684385,0.004997191216818029,0.6043956043956044,0.3357775814270197,0.28054723518599034,0.35370730879811696
adaptive,54.0,,11494,18.46041412911084,47.0,47,39.071925754060324,65.70767356881852,4,1,1,0.21419871237167218,0.7699516932670065,0.4903449896542898,0.000999000999000999,0.33220464337065136,0.3322046433706515,0.2087912087912088,0.5003600463429568,0.44642203721983215,0.5118216183517257
adaptive,61.0,,11494,14.251609535409779,24.0,48,30.163886126763156,61.49886897511745,3,1,1,0.00809117800591613,0.06867413822506022,0.007698058925732633,0.000999000999000999,0.010264441655133405,0.01182597434578801,0.24175824175824176,0.3357775814270197,0.28054723518599034,0.35370730879811696
adaptive,64.0,,11494,17.276144075169654,27.0,54,36.56538872316135,64.52340351487733,3,1,1,0.00809117800591613,0.06867413822506022,0.007698058925732633,0.000999000999000999,0.010264441655133183,0.01182597434578801,0.34065934065934067,0.3357775814270197,0.28054723518599034,0.35370730879811696
adaptive,72.0,,11494,25.34156951452932,35.0,70,53.636062313556515,72.58882895423699,3,1,1,0.00809117800591613,0.06867413822506,0.007698058925732832,0.000999000999000999,0.010264441655133405,0.01182597434578801,0.23076923076923078,0.3357775814270197,0.28054723518599034,0.35370730879811696
adaptive,96.0,,11494,48.994953888985556,59.0,70,103.69903878024527,96.24221332869323,2,1,29,0.002523055507221159,0.025473676447584043,0.004523769461538509,0.000999000999000999,0.0031864251528255227,0.004682636999537522,0.5384615384615384,0.33133128435879683,0.27762983917031975,0.34160885239427885
adaptive,128.0,,11494,80.76387680528971,91.0,91,170.9387544654366,128.0111362449974,2,1,1,8.700191404210893e-05,0.0013618038224061536,0.00019825758026237317,0.000999000999000999,0.0001096627357692892,0.00012347734925101107,0.45054945054945056,0.3570480278402053,0.2769571421796182,0.49956712858365293
adaptive,192.0,,11494,144.75274056029232,155.0,155,306.37277648878575,192.0,1,3,11494,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,0.0,2.220446049250313e-16,0.9120879120879121,0.32938608733422803,0.276825965567327,0.3333333333333333
adaptive,256.0,,11494,208.75274056029232,219.0,219,441.83036865171437,256.0,1,3,11494,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,0.0,2.220446049250313e-16,0.9120879120879121,0.32938608733422803,0.276825965567327,0.3333333333333333
fixed,16.0,12.0,11494,144.75274056029232,155.0,155,306.37277648878575,192.0,1,3,11494,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,0.0,2.220446049250313e-16,0.9120879120879121,0.32938608733422803,0.276825965567327,0.3333333333333333
fixed,18.0,11.0,11494,150.75274056029232,161.0,161,319.0719257540603,198.0,1,3,11494,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,0.0,0.0,1.0,0.32938608733422803,0.276825965567327,0.3333333333333333
fixed,24.0,8.0,11494,144.75274056029232,155.0,155,306.37277648878575,192.0,1,3,11494,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,0.0,2.220446049250313e-16,0.9120879120879121,0.32938608733422803,0.276825965567327,0.3333333333333333
fixed,32.0,6.0,11494,144.75274056029232,155.0,155,306.37277648878575,192.0,1,3,11494,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,2.220446049250313e-16,2.220446049250313e-16,0.0989010989010989,0.32938608733422803,0.276825965567327,0.3333333333333333
fixed,36.0,6.0,11494,168.75274056029232,179.0,179,357.16937354988397,216.0,1,3,11494,0.0,0.0,0.0,1.0,2.220446049250313e-16,2.220446049250313e-16,0.0989010989010989,0.32938608733422803,0.276825965567327,0.3333333333333333
fixed,48.0,4.0,11494,144.75274056029232,155.0,155,306.37277648878575,192.0,1,3,11494,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,0.0,2.220446049250313e-16,0.9120879120879121,0.32938608733422803,0.276825965567327,0.3333333333333333
fixed,54.0,4.0,11494,168.75274056029232,179.0,179,357.16937354988397,216.0,1,3,11494,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,2.220446049250313e-16,2.220446049250313e-16,0.0989010989010989,0.32938608733422803,0.276825965567327,0.3333333333333333
fixed,61.0,3.0,11494,135.75274056029232,146.0,146,287.3240525908739,183.0,1,3,11494,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,0.0,2.220446049250313e-16,0.9120879120879121,0.32938608733422803,0.276825965567327,0.3333333333333333
fixed,64.0,3.0,11494,144.75274056029232,155.0,155,306.37277648878575,192.0,1,3,11494,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,2.220446049250313e-16,2.220446049250313e-16,0.0989010989010989,0.32938608733422803,0.276825965567327,0.3333333333333333
fixed,72.0,3.0,11494,168.75274056029232,179.0,179,357.16937354988397,216.0,1,3,11494,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,2.220446049250313e-16,2.220446049250313e-16,0.0989010989010989,0.32938608733422803,0.276825965567327,0.3333333333333333
fixed,96.0,2.0,11494,144.75274056029232,155.0,155,306.37277648878575,192.0,1,3,11494,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,2.220446049250313e-16,2.220446049250313e-16,0.0989010989010989,0.32938608733422803,0.276825965567327,0.3333333333333333
fixed,128.0,2.0,11494,208.75274056029232,219.0,219,441.83036865171437,256.0,1,3,11494,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,2.220446049250313e-16,2.220446049250313e-16,0.0989010989010989,0.32938608733422803,0.276825965567327,0.3333333333333333
fixed,192.0,1.0,11494,144.75274056029232,155.0,155,306.37277648878575,192.0,1,3,11494,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,0.0,2.220446049250313e-16,0.9120879120879121,0.32938608733422803,0.276825965567327,0.3333333333333333
fixed,256.0,1.0,11494,208.75274056029232,219.0,219,441.83036865171437,256.0,1,3,11494,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,0.0,2.220446049250313e-16,0.9120879120879121,0.32938608733422803,0.276825965567327,0.3333333333333333
