title,authors,year,venue,doi,url,peer_reviewed,evidence_level,split_relevance,padding_relevance,timing_relevance,protocol,attacker_model,mechanism,sw_or_hw,platform,experiment_type,security_result,overhead_result,limitations,relevance
RFC 896 Congestion Control in IP/TCP Internetworks (Nagle's algorithm),J. Nagle,1984,IETF RFC (foundational),10.17487/RFC0896,https://www.rfc-editor.org/rfc/rfc896,no,S,split survives wire only with pacing/NODELAY,NA,pacing prevents small-segment coalescing,TCP,passive on-path,Nagle small-segment avoidance (basis for TCP_NODELAY),sw,Linux/BSD stacks,standard,NA,NA,foundational; disabled by TCP_NODELAY,why a split needs pacing/NODELAY to stay split on the wire
"Linux tcp(7) manual (TCP_NODELAY, TCP_CORK, tcp_autocorking)",Linux man-pages contributors,2024,man7.org,NA,https://man7.org/linux/man-pages/man7/tcp.7.html,no,S,small-write coalescing / segmentation control,NA,autocorking coalesces small writes even with NODELAY,TCP,passive on-path,TCP_NODELAY/TCP_CORK/tcp_autocorking controls,sw,Linux stack,documentation,NA,NA,impl-specific to Linux,grounds that a zero-delay split may re-merge (autocorking); pacing required
Linux kernel segmentation-offloads documentation (TSO/GSO/GRO/LRO),Linux kernel contributors,2024,kernel.org Documentation/networking,NA,https://www.kernel.org/doc/html/latest/networking/segmentation-offloads.html,no,S,segment aggregation vs split; capture-vantage distortion,NA,NA,TCP/NIC,passive on-path (endpoint vs tap),GSO/TSO expand >MSS; GRO/LRO merge on receive,hw+sw,Linux stack + NIC,documentation,NA,NA,capture vantage decides the count,"why mid-path SPAN is ground truth; sender under-counts, receiver over-merges"
Seeing through Network-Protocol Obfuscation,"Liang Wang, Kevin P. Dyer, Aditya Akella, Thomas Ristenpart, Thomas Shrimpton",2015,ACM CCS,10.1145/2810103.2813715,https://dl.acm.org/doi/10.1145/2810103.2813715,yes,P,NA,NA,NA,obfuscated protocols,passive DPI / traffic analyst,detects obfs/FTE/meek via traffic analysis,sw,framework over real captures,measurement,obfuscation detectable at low false-positive rate,NA,detection not a defense; abstract-level,the beacon: a shaping defense is itself fingerprintable (detect-the-defense attacker)
A Critical Evaluation of Website Fingerprinting Attacks,"Marc Juarez, Sadia Afroz, Gunes Acar, Claudia Diaz, Rachel Greenstadt",2014,ACM CCS,10.1145/2660267.2660368,https://dl.acm.org/doi/10.1145/2660267.2660368,yes,P,NA,NA,NA,Tor web traffic (WF),passive WF attacker (open-world),"attack-evaluation critique (base-rate, open-world, drift)",sw,simulation over WF datasets,critique,WF attacks succumb to base-rate fallacy in open-world,NA,abstract-level,SCADA near-closed-world -> attacker stronger; base-rate honesty for the deep attacker
Performance Characteristics of the BlueField-2 SmartNIC,"Jianshen Liu, Carlos Maltzahn, Craig Ulmer, Matthew L. Curry",2021,arXiv 2105.06619 (preprint / Sandia TR),10.48550/arXiv.2105.06619,https://arxiv.org/abs/2105.06619,preprint,P,NA,NA,high (bounds DPU ARM overhead for a timed-hold datapath),NA,NA (measurement study),measured BlueField-2 ARM vs host throughput/latency,hw,NVIDIA BlueField-2 DPU,testbed measurement,ARM cores sustain ~half line-rate for kernel-space packet processing,NA,not adversarial; workload-specific; preprint,why DPU capability must use the HW fastpath not ARM; ceiling never binds at DNP3 kbps
PANIC: A High-Performance Programmable NIC for Multi-tenant Networks,"Jiaxin Lin, Kiran Patel, Brent E. Stephens, Anirudh Sivaraman, Aditya Akella",2020,USENIX OSDI,NA,https://www.usenix.org/conference/osdi20/presentation/lin,yes,P,med (per-frame scheduling of split output),low (decoy scheduler if built),high (hardware per-flow deadline scheduler),NA,"NA (isolation, not adversarial)",hybrid push/pull HW packet scheduler + interconnect,hw,FPGA-based programmable NIC prototype (100 Gbps),prototype eval,100 Gbps prototype; cross-tenant isolation + low-latency LB,NA,"scheduling/isolation focus, not obfuscation",grounds per-flow policy + timed release as first-class HW on a SmartNIC/FPGA
hXDP: Efficient Software Packet Processing on FPGA NICs,"Marco Spaziani Brunella, Giacomo Belocchi, Marco Bonola, Salvatore Pontarelli, and others",2020,USENIX OSDI (Best Paper); CACM 65(8) 2022,10.1145/3543668,https://www.usenix.org/conference/osdi20/presentation/brunella,yes,P,med (byte-preserving split datapath as eBPF on FPGA),NA,med (low-latency forwarding for timed release),NA,NA,run unmodified eBPF/XDP on FPGA via optimizing compiler + soft-CPU,hw,FPGA NIC (soft-CPU),prototype eval,~15% FPGA resources at 156.25 MHz; ~10x lower forwarding latency,NA,soft-CPU throughput ceiling; not a timing system,FPGA toolchain-maturity data point
NVIDIA MLX5 driver documentation (Accurate Send Scheduling / tx_pp),DPDK Project,2024,DPDK Programmer's Guide (living document),NA,https://doc.dpdk.org/guides/nics/mlx5.html,vendor-doc,V,NA,NA,high (quantitative parameters of the HW absolute-delay primitive),NA,NA,send scheduling on mbuf timestamps via Clock+Rearm queues,hw,NVIDIA ConnectX-6 Dx/7 / BlueField,vendor documentation,granularity 500 ns-1 ms; max-future window ~4.19 s at 500 ns,NA,doc not measured on our HW; firmware-specific,authoritative spec for DPU absolute-delay; ms holds fit with orders of margin
A fast and elitist multiobjective genetic algorithm: NSGA-II,K. Deb; A. Pratap; S. Agarwal; T. Meyarivan,2002,IEEE Transactions on Evolutionary Computation,10.1109/4235.996017,https://doi.org/10.1109/4235.996017,yes,peer-reviewed-journal,NA,NA,NA,NA,NA,multi-objective optimization (elitist non-dominated sorting + crowding distance),sw,NA,algorithm,NA,NA,assumes cheap deterministic objectives; ours are noisy attacker estimates needing CI-aware dominance,core solver for the per-class combined-policy multi-objective search
"An evolutionary many-objective optimization algorithm using reference-point-based nondominated sorting approach, Part I: solving problems with box constraints (NSGA-III)",K. Deb; H. Jain,2014,IEEE Transactions on Evolutionary Computation,10.1109/TEVC.2013.2281535,https://doi.org/10.1109/TEVC.2013.2281535,yes,peer-reviewed-journal,NA,NA,NA,NA,NA,reference-point many-objective optimization (≥4 objectives),sw,NA,algorithm,NA,NA,scalability to reference-point placement; still assumes deterministic objectives,our program has ≥4 simultaneous objectives (many-objective) → NSGA-III over NSGA-II (§10.3)
Multiobjective evolutionary algorithms: a comparative case study and the strength Pareto approach,E. Zitzler; L. Thiele,1999,IEEE Transactions on Evolutionary Computation,10.1109/4235.797969,https://doi.org/10.1109/4235.797969,yes,peer-reviewed-journal,NA,NA,NA,NA,NA,hypervolume (S-metric) indicator + SPEA,sw,NA,methodology,NA,NA,hypervolume computation cost grows with objective count,Pareto-compliant scalar to compare platform/policy frontiers and against WF lower-bounds (§10.3)
pymoo: Multi-Objective Optimization in Python,J. Blank; K. Deb,2020,IEEE Access,10.1109/ACCESS.2020.2990567,https://doi.org/10.1109/ACCESS.2020.2990567,yes,peer-reviewed-journal,NA,NA,NA,NA,NA,"MO optimization framework (NSGA-II/III, constraints, HV, decision making)",sw,NA,software-tool,NA,NA,"implementation/tooling, not a new method",the toolkit implementing NSGA-II/III + constrained domination + hypervolume for §10
On a bicriterion formulation of the problems of integrated system identification and system optimization (epsilon-constraint method),Y. Y. Haimes; L. S. Lasdon; D. A. Wismer,1971,"IEEE Transactions on Systems, Man, and Cybernetics",10.1109/TSMC.1971.4308298,https://doi.org/10.1109/TSMC.1971.4308298,yes,peer-reviewed-journal,NA,NA,NA,NA,NA,epsilon-constraint scalarization for Pareto frontier generation,sw,NA,methodology,NA,NA,generates weakly-Pareto points; needs a solver per epsilon slice,"principled name for the per-platform knob sweep → deterministic privacy-latency/-bandwidth/-hardware frontiers (§10.3, §11)"
