txn,read_idx,ack_idx,resp_idx,clrt_ms,resp_wire,ambiguous,flags,protection_applied,low_G_warning,effective_hold_ms
0,2,3,4,113.50894,120,False,,,,
1,6,7,8,1.063108,120,False,,,,
2,10,11,12,5.156994,120,False,,,,
3,14,15,16,1.312017,120,False,,,,
4,18,19,20,2.084017,120,False,,,,
5,22,23,24,1.397133,120,False,,,,
6,26,27,28,1.067162,120,False,,,,
7,30,31,32,7.065058,120,False,,,,
8,34,35,36,1.068115,120,False,,,,
9,38,39,40,1.07193,120,False,,,,
10,42,43,44,3.22485,120,False,,,,
11,46,47,48,2.034187,120,False,,,,
12,50,51,52,1.209974,120,False,,,,
13,54,55,56,2.038002,120,False,,,,
14,58,59,60,1.076937,120,False,,,,
15,62,63,64,3.984928,120,False,,,,
16,66,67,68,1.074076,120,False,,,,
17,70,71,72,2.08497,120,False,,,,
18,74,75,76,1.070976,120,False,,,,
19,78,79,80,1.074076,120,False,,,,
20,82,83,84,3.222942,120,False,,,,
21,86,87,88,1.233101,120,False,,,,
22,90,91,92,2.071142,120,False,,,,
23,94,95,96,1.493931,120,False,,,,
24,98,99,100,1.075983,120,False,,,,
25,102,103,104,7.077932,120,False,,,,
26,106,107,108,3.165007,120,False,,,,
27,110,111,112,1.118898,120,False,,,,
28,114,115,116,6.095171,120,False,,,,
29,118,119,120,2.044916,120,False,,,,
30,122,123,124,6.892204,120,False,,,,
31,126,127,128,2.114058,120,False,,,,
32,130,131,132,1.116991,120,False,,,,
33,134,135,136,5.550146,120,False,,,,
34,138,139,140,2.041101,120,False,,,,
35,142,143,144,6.076813,120,False,,,,
36,146,147,148,4.079103,120,False,,,,
37,150,151,152,1.075983,120,False,,,,
38,154,155,156,2.205133,120,False,,,,
39,158,159,160,1.05691,120,False,,,,
40,162,163,164,5.767822,120,False,,,,
41,166,167,168,1.39308,120,False,,,,
42,170,171,172,1.067877,120,False,,,,
43,174,175,176,2.258062,120,False,,,,
44,178,179,180,1.06883,120,False,,,,
45,182,183,184,2.046108,120,False,,,,
46,186,187,188,1.075983,120,False,,,,
47,190,191,192,1.260996,120,False,,,,
48,194,195,196,2.795935,120,False,,,,
49,198,199,200,1.052141,120,False,,,,
50,202,203,204,5.388975,120,False,,,,
51,206,207,208,2.156973,120,False,,,,
52,210,211,212,1.08099,120,False,,,,
53,214,215,216,5.037069,120,False,,,,
54,218,219,220,1.064062,120,False,,,,
55,222,223,224,1.061916,120,False,,,,
56,226,227,228,2.067804,120,False,,,,
57,230,231,232,1.080036,120,False,,,,
58,234,235,236,3.06797,120,False,,,,
59,238,239,240,1.245975,120,False,,,,
60,242,243,244,5.460978,120,False,,,,
61,246,247,248,4.030943,120,False,,,,
62,250,251,252,1.065016,120,False,,,,
63,254,255,256,10.302067,120,False,,,,
64,258,259,260,4.114866,120,False,,,,
65,262,263,264,1.060963,120,False,,,,
66,266,267,268,2.30217,120,False,,,,
67,270,271,272,1.072168,120,False,,,,
68,274,275,276,2.110958,120,False,,,,
69,278,279,280,1.061201,120,False,,,,
70,282,283,284,2.07901,120,False,,,,
71,286,287,288,5.60689,120,False,,,,
72,290,291,292,2.08807,120,False,,,,
73,294,295,296,1.210213,120,False,,,,
74,298,299,300,1.058817,120,False,,,,
75,302,303,304,2.147913,120,False,,,,
76,306,307,308,4.259825,120,False,,,,
77,310,311,312,1.066923,120,False,,,,
78,314,315,316,1.060963,120,False,,,,
79,318,319,320,2.030849,120,False,,,,
80,322,323,324,1.077175,120,False,,,,
81,326,327,328,3.496885,120,False,,,,
82,330,331,332,4.198074,120,False,,,,
83,334,335,336,1.059055,120,False,,,,
84,338,339,340,2.043962,120,False,,,,
85,342,343,344,1.076937,120,False,,,,
86,346,347,348,2.355814,120,False,,,,
87,350,351,352,1.058102,120,False,,,,
88,354,355,356,2.06399,120,False,,,,
89,358,359,360,5.578041,120,False,,,,
90,362,363,364,2.079964,120,False,,,,
91,366,367,368,1.234055,120,False,,,,
92,370,371,372,1.061916,120,False,,,,
93,374,375,376,2.142906,120,False,,,,
94,378,379,380,8.332968,120,False,,,,
95,382,383,384,6.675005,120,False,,,,
96,386,387,388,1.547098,120,False,,,,
97,390,391,392,1.214027,120,False,,,,
98,394,395,396,1.057863,120,False,,,,
99,398,399,400,2.571106,120,False,,,,
100,402,403,404,1.066923,120,False,,,,
101,406,407,408,5.155087,120,False,,,,
102,410,411,412,1.07193,120,False,,,,
103,414,415,416,1.082897,120,False,,,,
104,418,419,420,4.45199,120,False,,,,
105,422,423,424,1.061916,120,False,,,,
106,426,427,428,11.423111,120,False,,,,
107,430,431,432,1.112938,120,False,,,,
108,434,435,436,2.027988,120,False,,,,
109,438,439,440,1.134157,120,False,,,,
110,442,443,444,2.067089,120,False,,,,
111,446,447,448,1.132011,120,False,,,,
112,450,451,452,1.064062,120,False,,,,
113,454,455,456,2.218008,120,False,,,,
114,458,459,460,4.04501,120,False,,,,
115,462,463,464,1.080036,120,False,,,,
116,466,467,468,1.128912,120,False,,,,
117,470,471,472,2.125978,120,False,,,,
118,474,475,476,1.08099,120,False,,,,
119,478,479,480,4.043102,120,True,multiple_pure_ack,,,
