txn,read_idx,ack_idx,resp_idx,clrt_ms,resp_wire,ambiguous,flags,protection_applied,low_G_warning,effective_hold_ms
0,None,0,1,24.995089,120,False,,true,false,0.004911
1,None,2,3,24.998903,120,False,,true,false,0.001097
2,None,4,5,24.996042,120,False,,true,false,0.003958
3,None,6,7,24.99795,120,False,,true,false,0.00205
4,None,8,9,24.996042,120,False,,true,false,0.003958
5,None,10,11,25.004864,120,False,,false,true,0.0
6,None,12,13,24.998903,120,False,,true,false,0.001097
7,None,14,15,25.002003,120,False,,false,true,0.0
8,None,16,17,24.99795,120,False,,true,false,0.00205
9,None,18,19,25.000811,120,False,,false,true,0.0
10,None,20,21,24.998188,120,False,,true,false,0.001812
11,None,22,23,24.974108,120,False,,true,false,0.025892
12,None,24,25,25.00391,120,False,,false,true,0.0
13,None,26,27,25.001049,120,False,,false,true,0.0
14,None,28,29,25.000095,120,False,,false,true,0.0
15,None,30,31,24.99795,120,False,,true,false,0.00205
16,None,32,33,24.981976,120,False,,true,false,0.018024
17,None,34,35,25.005817,120,False,,false,true,0.0
18,None,36,37,24.967909,120,False,,true,false,0.032091
19,None,38,39,24.974108,120,False,,true,false,0.025892
20,None,40,41,24.999142,120,False,,true,false,0.000858
21,None,42,43,24.991035,120,False,,true,false,0.008965
22,None,44,45,25.027037,120,False,,false,true,0.0
23,None,46,47,25.009155,120,False,,false,true,0.0
24,None,48,49,25.000095,120,False,,false,true,0.0
25,None,50,51,24.99795,120,False,,true,false,0.00205
26,None,52,53,24.996042,120,False,,true,false,0.003958
27,None,54,55,24.995089,120,False,,true,false,0.004911
28,None,56,57,24.999857,120,False,,true,false,0.000143
29,None,58,59,24.99795,120,False,,true,false,0.00205
30,None,60,61,24.996996,120,False,,true,false,0.003004
31,None,62,63,24.995089,120,False,,true,false,0.004911
32,None,64,65,25.000095,120,False,,false,true,0.0
33,None,66,67,25.009155,120,False,,false,true,0.0
34,None,68,69,24.994135,120,False,,true,false,0.005865
35,None,70,71,25.022984,120,False,,false,true,0.0
36,None,72,73,25.002003,120,False,,false,true,0.0
37,None,74,75,24.993896,120,False,,true,false,0.006104
38,None,76,77,25.000095,120,False,,false,true,0.0
39,None,78,79,25.000095,120,False,,false,true,0.0
40,None,80,81,24.99795,120,False,,true,false,0.00205
41,None,82,83,25.003195,120,False,,false,true,0.0
42,None,84,85,25.002003,120,False,,false,true,0.0
43,None,86,87,24.999857,120,False,,true,false,0.000143
44,None,88,89,24.999142,120,False,,true,false,0.000858
45,None,90,91,24.995089,120,False,,true,false,0.004911
46,None,92,93,24.99795,120,False,,true,false,0.00205
47,None,94,95,25.024176,120,False,,false,true,0.0
48,None,96,97,24.99485,120,False,,true,false,0.00515
49,None,98,99,24.996996,120,False,,true,false,0.003004
50,None,100,101,24.993896,120,False,,true,false,0.006104
51,None,102,103,24.99795,120,False,,true,false,0.00205
52,None,104,105,25.001049,120,False,,false,true,0.0
53,None,106,107,24.991989,120,False,,true,false,0.008011
54,None,108,109,25.002003,120,False,,false,true,0.0
55,None,110,111,24.99795,120,False,,true,false,0.00205
56,None,112,113,24.995804,120,False,,true,false,0.004196
57,None,114,115,25.002956,120,False,,false,true,0.0
58,None,116,117,24.991989,120,False,,true,false,0.008011
59,None,118,119,25.006056,120,False,,false,true,0.0
60,None,120,121,24.99795,120,False,,true,false,0.00205
61,None,122,123,25.000811,120,False,,false,true,0.0
62,None,124,125,25.005102,120,False,,false,true,0.0
63,None,126,127,24.998188,120,False,,true,false,0.001812
64,None,128,129,25.000095,120,False,,false,true,0.0
65,None,130,131,24.99795,120,False,,true,false,0.00205
66,None,132,133,24.999857,120,False,,true,false,0.000143
67,None,134,135,25.004864,120,False,,false,true,0.0
68,None,136,137,24.99795,120,False,,true,false,0.00205
69,None,138,139,24.945021,120,False,,true,false,0.054979
70,None,140,141,25.00391,120,False,,false,true,0.0
71,None,142,143,25.001049,120,False,,false,true,0.0
72,None,144,145,25.00701,120,False,,false,true,0.0
73,None,146,147,24.973869,120,False,,true,false,0.026131
74,None,148,149,24.998903,120,False,,true,false,0.001097
75,None,150,151,24.999142,120,False,,true,false,0.000858
76,None,152,153,25.000095,120,False,,false,true,0.0
77,None,154,155,24.996996,120,False,,true,false,0.003004
78,None,156,157,24.996042,120,False,,true,false,0.003958
79,None,158,159,24.999857,120,False,,true,false,0.000143
80,None,160,161,25.000095,120,False,,false,true,0.0
81,None,162,163,24.99795,120,False,,true,false,0.00205
82,None,164,165,24.99795,120,False,,true,false,0.00205
83,None,166,167,25.002956,120,False,,false,true,0.0
84,None,168,169,25.00391,120,False,,false,true,0.0
85,None,170,171,25.02203,120,False,,false,true,0.0
86,None,172,173,25.002956,120,False,,false,true,0.0
87,None,174,175,24.999142,120,False,,true,false,0.000858
88,None,176,177,24.99485,120,False,,true,false,0.00515
89,None,178,179,24.980068,120,False,,true,false,0.019932
90,None,180,181,24.993181,120,False,,true,false,0.006819
91,None,182,183,24.999857,120,False,,true,false,0.000143
92,None,184,185,24.986982,120,False,,true,false,0.013018
93,None,186,187,24.993896,120,False,,true,false,0.006104
94,None,188,189,25.004864,120,False,,false,true,0.0
95,None,190,191,24.998188,120,False,,true,false,0.001812
96,None,192,193,24.998188,120,False,,true,false,0.001812
97,None,194,195,25.002003,120,False,,false,true,0.0
98,None,196,197,24.99485,120,False,,true,false,0.00515
99,None,198,199,24.991989,120,False,,true,false,0.008011
