# dp11/dp9 link stability watch (5 min) — 2026-07-24 10:37:29 EDT
# fields: time dp11_UP dp11_frames dp11_err dp9_UP dp9_frames vis_carrier hulk_carrier
10:37:32 dp11_UP=true f=19 err=0 dp9_UP=true f=18 0 vis_car=1 hulk_car=1
10:38:01 dp11_UP=true f=21 err=0 dp9_UP=true f=31 0 vis_car=1 hulk_car=1
10:38:31 dp11_UP=true f=23 err=0 dp9_UP=true f=36 0 vis_car=1 hulk_car=1
10:39:02 dp11_UP=true f=24 err=0 dp9_UP=true f=49 0 vis_car=1 hulk_car=1
10:39:31 dp11_UP=true f=26 err=0 dp9_UP=true f=62 0 vis_car=1 hulk_car=1
10:40:01 dp11_UP=true f=27 err=0 dp9_UP=true f=67 0 vis_car=1 hulk_car=1
10:40:32 dp11_UP=true f=28 err=0 dp9_UP=true f=68 0 vis_car=1 hulk_car=1
10:41:01 dp11_UP=true f=29 err=0 dp9_UP=true f=69 0 vis_car=1 hulk_car=1
10:41:31 dp11_UP=true f=30 err=0 dp9_UP=true f=70 0 vis_car=1 hulk_car=1
10:42:02 dp11_UP=true f=32 err=0 dp9_UP=true f=71 0 vis_car=1 hulk_car=1
10:42:32 dp11_UP=true f=33 err=0 dp9_UP=true f=72 0 vis_car=1 hulk_car=1
FLAPS=0
