Subscribe attempt #1
Subscribe response received 0
Binding with p4_name queue_microbench
Binding with p4_name queue_microbench successful!!
Received queue_microbench on GetForwarding on client 23, device 0
sec  in_pps  DEQ_pps(shaped128)  use_cells
  1   82679   41381  0
  2  155302   77652  0
  3  154942   77469  0
  4  154680   77342  0
  5  154821   77409  0
  6  154190   77095  0
  7  154770   77386  0
  8  154351   77175  0
  9  154354   77174  0
 10  154575   77292  0
 11  154414   77207  0
 12  154583   77290  0
 13  154365   77183  0
 14  154202   77102  0
 15  154204   77101  0
 16  154088   77045  0
 17  154154   77074  0
 18  154148   77075  0
 19  154027   77013  0
 20  154293   77147  0
 21  154164   77081  0
DEQ_pps: median=77174 min=41381 max=77652 mean=75509  (n=21 samples)
