Subscribe attempt #1
Subscribe response received 0
Binding with p4_name queue_microbench
Binding with p4_name queue_microbench successful!!
Received queue_microbench on GetForwarding on client 23, device 0
sec  in_pps  DEQ_pps(shaped128)  use_cells
  1  135234     662  24234
  2  163618     660  24234
  3  164083     662  24234
  4  164126     661  24234
  5  164377       0  24234
  6  164091     660  24234
  7  164762     662  24234
  8  163779     660  24234
  9  163599     662  24234
 10  163951     661  24234
 11  163746     661  24234
 12  163479     660  24234
 13  162983     662  24234
 14  163704     660  24234
 15  163832     662  24234
 16  164468     660  24234
 17  163172     662  24234
 18  164369       0  24234
 19  164182     660  24234
 20  163515     661  24234
 21  163777     662  24234
DEQ_pps: median=661 min=0 max=662 mean=598  (n=21 samples)
