capture_id,ts,device,ack_mode,flow,transaction_id,direction,tcp_kind,dnp3_fc,role,response_to,is_read_request,is_read_response,is_direct_operate,is_direct_operate_response,is_select,is_select_confirm,is_operate,is_operate_confirm,is_app_confirm,is_response,response_fragment_index,app_fir,app_fin,app_con,wire_size,tcp_payload_size
SEL751.pcap,1561422337.595153,SEL751,separate,10.0.0.3:38527,1,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422337.599252,SEL751,separate,10.0.0.3:38527,1,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422337.610269,SEL751,separate,10.0.0.3:38527,1,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422337.610289,SEL751,separate,10.0.0.3:38527,1,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422339.595188,SEL751,separate,10.0.0.3:38527,2,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422339.599607,SEL751,separate,10.0.0.3:38527,2,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422339.610639,SEL751,separate,10.0.0.3:38527,2,outstation_to_master,data,RESPONSE,RESPONSE,READ,0,1,0,0,0,0,0,0,0,1,0,1,1,0,120,54
SEL751.pcap,1561422339.610659,SEL751,separate,10.0.0.3:38527,2,master_to_outstation,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
SEL751.pcap,1561422341.595294,SEL751,separate,10.0.0.3:38527,3,master_to_outstation,data,READ,READ_REQUEST,,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,88,22
SEL751.pcap,1561422341.600107,SEL751,separate,10.0.0.3:38527,3,outstation_to_master,ack_only,none,ACK,,0,0,0,0,0,0,0,0,0,0,-1,,,,66,0
